columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
18.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Ninguno de las anteriores,478,248,230,0,160,138,0,10,10,0,78,82,0,0,0,0,2023,nacimientos,Cuadro11
18.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,19 Cauca,Total,1228,661,567,0,241,209,0,68,53,0,352,305,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Indígena,267,128,139,0,10,8,0,10,17,0,108,114,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",127,70,57,0,26,26,0,7,9,0,37,22,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Ninguno de las anteriores,834,463,371,0,205,175,0,51,27,0,207,169,0,0,0,0,2023,nacimientos,Cuadro11
19.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
20.0,20 Cesar,Total,1605,827,777,1,645,592,1,116,119,0,66,66,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Indígena,62,33,29,0,17,16,0,5,6,0,11,7,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",33,17,16,0,13,12,0,4,4,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Ninguno de las anteriores,1510,777,732,1,615,564,1,107,109,0,55,59,0,0,0,0,2023,nacimientos,Cuadro11
20.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
23.0,23 Córdoba,Total,1743,930,813,0,520,470,0,139,108,0,271,235,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Indígena,18,7,11,0,3,1,0,2,0,0,2,10,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",11,6,5,0,4,3,0,1,2,0,1,0,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Ninguno de las anteriores,1714,917,797,0,513,466,0,136,106,0,268,225,0,0,0,0,2023,nacimientos,Cuadro11
23.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
25.0,25 Cundinamarca,Total,2441,1313,1128,0,955,830,0,20,11,0,338,287,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Indígena,9,5,4,0,3,0,0,0,0,0,2,4,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",15,10,5,0,8,3,0,1,0,0,1,2,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Ninguno de las anteriores,2417,1298,1119,0,944,827,0,19,11,0,335,281,0,0,0,0,2023,nacimientos,Cuadro11
25.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
27.0,27 Chocó,Total,485,238,247,0,155,171,0,40,31,0,43,45,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Indígena,55,22,33,0,11,8,0,2,6,0,9,19,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
