columna,columna_1,"CUADRO 5 - Nacimientos por persona que atendió el parto según departamento, municipio de ocurrencia y sitio del parto",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,año,tipo,hoja_origen
5.0,5055.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5059.0,,05059 Armenia,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5059.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5059.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5059.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5079.0,,05079 Barbosa,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5079.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5079.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5079.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5079.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5086.0,,05086 Belmira,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5086.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5086.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5086.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5088.0,,05088 Bello,Total,2,2,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5088.0,,,Institución de Salud,2,2,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5088.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5088.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5088.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5091.0,,05091 Betania,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5091.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5091.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5091.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5091.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5093.0,,05093 Betulia,Total,4,4,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5093.0,,,Institución de Salud,4,4,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5093.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5093.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5093.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5101.0,,05101 Ciudad Bolívar,Total,39,38,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5101.0,,,Institución de Salud,38,38,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5101.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5101.0,,,Otro Sitio,1,0,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5101.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5107.0,,05107 Briceño,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5107.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5107.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5107.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5107.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5113.0,,05113 Buriticá,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5113.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5113.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5113.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5113.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5120.0,,05120 Cáceres,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5120.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5120.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5120.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5120.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5125.0,,05125 Caicedo,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5125.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5125.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5125.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5125.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5129.0,,05129 Caldas,Total,54,54,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5129.0,,,Institución de Salud,54,54,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5129.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5129.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5129.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5134.0,,05134 Campamento,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5134.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5134.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5134.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5134.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5138.0,,05138 Cañasgordas,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5138.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5138.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5138.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5138.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5142.0,,05142 Caracolí,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5142.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5142.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5142.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5142.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5145.0,,05145 Caramanta,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5145.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5145.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5145.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5145.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5147.0,,05147 Carepa,Total,5,5,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5147.0,,,Institución de Salud,5,5,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5147.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5147.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5147.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5148.0,,05148 El Carmen de Viboral,Total,2,1,0,0,0,1,0,0,2023,nacimientos,Cuadro5
5.0,5148.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5148.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5148.0,,,Otro Sitio,1,0,0,0,0,1,0,0,2023,nacimientos,Cuadro5
5.0,5148.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5150.0,,05150 Carolina,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5150.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5150.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5150.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5150.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5154.0,,05154 Caucasia,Total,339,338,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5154.0,,,Institución de Salud,337,337,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5154.0,,,Domicilio,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5154.0,,,Otro Sitio,1,0,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5154.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5172.0,,05172 Chigorodó,Total,182,180,1,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5172.0,,,Institución de Salud,181,180,1,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5172.0,,,Domicilio,1,0,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5172.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5172.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5190.0,,05190 Cisneros,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5190.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5190.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5190.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5190.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5197.0,,05197 Cocorná,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5197.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5197.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5197.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
