columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5088.0,,05088 Bello,Total,380,3,1,7,39,109,166,48,7,0,2023,nacimientos,Cuadro6A
5.0,5088.0,,,Cabecera municipal,370,3,1,6,37,107,163,47,6,0,2023,nacimientos,Cuadro6A
5.0,5088.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5088.0,,,Rural disperso,9,0,0,1,1,2,3,1,1,0,2023,nacimientos,Cuadro6A
5.0,5088.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5091.0,,05091 Betania,Total,4,0,0,0,0,0,4,0,0,0,2023,nacimientos,Cuadro6A
5.0,5091.0,,,Cabecera municipal,2,0,0,0,0,0,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5091.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5091.0,,,Rural disperso,2,0,0,0,0,0,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5091.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5093.0,,05093 Betulia,Total,10,1,0,0,1,1,5,2,0,0,2023,nacimientos,Cuadro6A
5.0,5093.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5093.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5093.0,,,Rural disperso,9,1,0,0,1,1,4,2,0,0,2023,nacimientos,Cuadro6A
5.0,5093.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5101.0,,05101 Ciudad Bolívar,Total,18,0,2,1,1,5,7,2,0,0,2023,nacimientos,Cuadro6A
5.0,5101.0,,,Cabecera municipal,8,0,1,1,1,0,3,2,0,0,2023,nacimientos,Cuadro6A
5.0,5101.0,,,Centro poblado,2,0,0,0,0,1,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5101.0,,,Rural disperso,8,0,1,0,0,4,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5101.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5107.0,,05107 Briceño,Total,9,0,0,0,1,1,4,3,0,0,2023,nacimientos,Cuadro6A
5.0,5107.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5107.0,,,Centro poblado,1,0,0,0,0,0,0,1,0,0,2023,nacimientos,Cuadro6A
5.0,5107.0,,,Rural disperso,8,0,0,0,1,1,4,2,0,0,2023,nacimientos,Cuadro6A
5.0,5107.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5113.0,,05113 Buriticá,Total,9,0,0,0,0,2,4,3,0,0,2023,nacimientos,Cuadro6A
5.0,5113.0,,,Cabecera municipal,3,0,0,0,0,1,1,1,0,0,2023,nacimientos,Cuadro6A
5.0,5113.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5113.0,,,Rural disperso,6,0,0,0,0,1,3,2,0,0,2023,nacimientos,Cuadro6A
5.0,5113.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5120.0,,05120 Cáceres,Total,38,0,0,0,3,13,15,4,3,0,2023,nacimientos,Cuadro6A
5.0,5120.0,,,Cabecera municipal,10,0,0,0,1,3,4,0,2,0,2023,nacimientos,Cuadro6A
5.0,5120.0,,,Centro poblado,16,0,0,0,1,6,8,1,0,0,2023,nacimientos,Cuadro6A
5.0,5120.0,,,Rural disperso,12,0,0,0,1,4,3,3,1,0,2023,nacimientos,Cuadro6A
5.0,5120.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5125.0,,05125 Caicedo,Total,9,0,0,0,0,4,3,2,0,0,2023,nacimientos,Cuadro6A
5.0,5125.0,,,Cabecera municipal,3,0,0,0,0,1,1,1,0,0,2023,nacimientos,Cuadro6A
5.0,5125.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5125.0,,,Rural disperso,6,0,0,0,0,3,2,1,0,0,2023,nacimientos,Cuadro6A
5.0,5125.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
