columna,columna_1,"CUADRO 15 - Defunciones por grupos de edad y sexo, según departamento, municipio de ocurrencia y grupos de causas externas  (Lista de causas agrupadas 6/67 cie-10 de OPS)",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
3.0,3000.0,,,506 Accidentes que obstruyen la respiración,501,341,160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,8,0,7,3,0,9,7,0,6,10,0,6,3,0,12,2,0,12,4,0,20,2,0,19,6,0,23,3,0,11,1,0,14,2,0,20,4,0,13,7,0,22,5,0,20,5,0,22,4,0,26,8,0,14,8,0,28,21,0,11,20,0,7,13,0,2,11,0,2,3,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,507 Exposición a la corriente eléctrica,285,267,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,2,0,2,0,0,5,0,0,18,2,0,28,1,0,22,0,0,34,2,0,32,3,0,50,1,0,23,0,0,16,2,0,12,2,0,12,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,"508 Exposición al humo, fuego y llamas",123,82,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,7,5,0,6,3,0,2,3,0,4,3,0,3,0,0,6,1,0,7,3,0,3,2,0,3,1,0,3,0,0,4,4,0,8,5,0,4,1,0,4,0,0,7,2,0,4,3,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,347,299,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,4,3,0,5,2,0,2,0,0,2,1,0,10,2,0,30,4,0,49,6,0,37,2,0,37,4,0,21,5,0,18,4,0,17,3,0,19,3,0,15,2,0,14,0,0,8,0,0,3,1,0,1,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,"510 Otros accidentes, inclusive secuelas",2087,1338,749,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,5,1,0,12,4,0,21,5,0,14,13,0,15,9,0,30,10,0,67,15,0,87,9,0,89,12,0,84,19,0,77,28,0,95,14,0,84,22,0,74,21,0,89,27,0,80,36,0,79,54,0,79,60,0,86,103,0,73,123,0,61,111,0,28,37,0,6,11,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),3116,2473,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,64,67,0,269,137,0,336,115,0,307,72,0,216,43,0,205,42,0,173,29,0,155,28,0,121,31,0,157,27,0,135,18,0,95,13,0,100,15,0,57,3,0,50,2,0,22,1,0,8,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
3.0,3000.0,,,512 Agresiones (homicidios),14483,13367,1107,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,1,1,0,9,7,0,10,9,0,14,11,0,50,18,0,1137,108,0,2533,166,1,2596,157,1,2040,150,0,1529,128,0,1134,90,0,757,63,0,550,61,0,412,44,0,253,35,1,170,24,0,75,10,0,37,8,0,31,9,3,4,3,0,15,2,1,1,0,0,0,0,0,5,0,1,2022,defunciones,Cuadro15
3.0,3000.0,,,513 Eventos de intención no determinada,1997,1462,520,15,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,8,2,0,12,6,0,15,9,0,12,4,0,20,8,0,58,16,0,124,33,0,115,26,0,126,26,2,89,32,1,100,20,3,75,19,0,89,15,0,98,21,0,104,26,2,103,31,0,88,24,0,79,37,0,67,43,2,39,63,0,23,35,1,12,15,0,1,7,2,1,0,2,2022,defunciones,Cuadro15
3.0,3000.0,,,514 Las demás causas externas,259,185,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,4,0,15,2,0,13,1,0,14,1,0,14,2,0,12,0,0,12,0,0,11,2,0,8,0,0,18,2,0,13,4,0,12,6,0,10,8,0,9,8,0,5,10,0,8,15,0,1,9,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,5023,4231,790,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,11,5,0,20,9,0,6,7,0,37,23,0,349,57,0,675,88,0,576,64,0,530,63,1,423,46,0,315,40,0,224,31,0,195,34,0,183,23,0,177,40,0,138,33,0,105,39,0,103,31,0,69,43,1,42,52,0,32,38,0,16,19,0,1,3,0,1,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,501 Accidentes de transporte terrestre,1112,917,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,4,2,0,3,2,0,9,4,0,72,13,0,130,24,0,120,21,0,106,20,0,83,14,0,70,16,0,49,12,0,53,7,0,47,6,0,52,10,0,39,12,0,31,8,0,25,9,0,14,6,0,6,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,502 Los demás accidentes de transporte y los no especificados,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,503 Caídas,215,176,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,5,0,0,6,0,0,4,0,0,4,0,0,2,1,0,13,1,0,17,3,0,21,6,0,27,1,0,18,7,0,18,4,0,15,3,0,11,6,0,6,1,0,4,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,504 Accidentes por disparo de arma de fuego,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,505 Ahogamiento y sumersión accidentales,125,106,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,2,0,1,2,0,4,3,0,16,2,0,13,2,0,8,2,0,7,2,0,7,0,0,8,0,0,11,0,0,3,1,0,4,1,0,8,0,0,1,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,506 Accidentes que obstruyen la respiración,65,43,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,1,0,5,2,0,3,1,0,4,3,0,3,3,0,7,4,0,0,3,0,2,1,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,507 Exposición a la corriente eléctrica,30,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,5,0,0,3,0,0,7,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,"508 Exposición al humo, fuego y llamas",14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,68,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,5,2,0,7,1,0,11,1,0,6,1,0,6,3,0,4,1,0,4,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,"510 Otros accidentes, inclusive secuelas",394,245,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3,0,1,2,0,6,2,0,12,4,0,14,1,0,21,1,0,15,4,0,13,4,0,14,5,0,16,6,0,8,4,0,15,6,0,20,7,0,16,10,0,22,9,0,12,18,0,14,24,0,15,26,0,6,10,0,0,2,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),542,430,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,42,18,0,70,24,0,55,15,0,58,11,0,45,10,0,38,4,0,21,2,0,20,5,0,21,3,0,18,6,0,12,0,0,8,2,0,6,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,512 Agresiones (homicidios),2032,1899,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,0,6,1,0,194,19,0,400,29,0,339,17,0,289,20,0,227,10,0,150,8,0,102,3,0,67,8,0,56,3,0,28,6,0,23,3,0,5,0,0,3,0,0,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,513 Eventos de intención no determinada,374,277,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,3,0,0,8,2,0,33,4,0,26,6,0,25,7,1,20,6,0,15,6,0,10,5,0,14,4,0,21,1,0,19,4,0,8,8,0,17,6,0,23,6,0,12,8,1,8,12,0,5,5,0,5,1,0,1,1,0,0,0,0,2022,defunciones,Cuadro15
5.0,5000.0,,,514 Las demás causas externas,41,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,5,1,0,1,0,0,2,0,0,2,0,0,2,0,0,4,0,0,1,1,0,4,2,0,2,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,05001 Medellín,TOTAL,1534,1215,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,6,1,0,0,2,0,6,6,0,78,18,0,175,28,0,129,20,0,163,26,0,106,14,0,88,14,0,54,10,0,57,15,0,58,11,0,65,19,0,61,13,0,42,20,0,49,12,0,33,27,0,23,28,0,16,22,0,3,8,0,1,2,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,501 Accidentes de transporte terrestre,341,274,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,21,5,0,39,6,0,21,4,0,36,10,0,21,4,0,19,4,0,11,3,0,18,2,0,13,1,0,21,5,0,19,5,0,14,5,0,10,1,0,5,4,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,502 Los demás accidentes de transporte y los no especificados,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,503 Caídas,118,94,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,3,0,0,1,0,0,1,0,0,2,0,0,7,0,0,6,1,0,11,3,0,18,0,0,8,5,0,12,4,0,10,1,0,7,5,0,3,1,0,1,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,505 Ahogamiento y sumersión accidentales,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,506 Accidentes que obstruyen la respiración,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,0,0,2,3,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,507 Exposición a la corriente eléctrica,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,"508 Exposición al humo, fuego y llamas",12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,43,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,1,0,5,0,0,7,0,0,4,1,0,5,3,0,3,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,"510 Otros accidentes, inclusive secuelas",154,72,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,0,4,0,0,2,3,0,2,4,0,4,1,0,2,4,0,2,3,0,3,5,0,8,3,0,6,6,0,12,3,0,5,13,0,8,13,0,7,15,0,2,3,0,0,1,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),232,181,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,18,8,0,34,10,0,24,6,0,31,7,0,15,5,0,16,2,0,6,1,0,5,3,0,13,2,0,7,1,0,4,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,512 Agresiones (homicidios),440,407,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,31,3,0,87,6,0,65,7,0,74,5,0,46,0,0,40,1,0,19,1,0,13,2,0,11,2,0,7,2,0,5,1,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,513 Eventos de intención no determinada,136,97,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,2,0,8,2,0,4,3,0,9,2,0,4,1,0,4,1,0,8,3,0,9,1,0,7,2,0,4,2,0,4,1,0,12,1,0,6,6,0,3,4,0,2,4,0,0,1,0,1,1,0,0,0,0,2022,defunciones,Cuadro15
5.0,5001.0,,,514 Las demás causas externas,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5002.0,,05002 Abejorral,TOTAL,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5002.0,,,501 Accidentes de transporte terrestre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5002.0,,,505 Ahogamiento y sumersión accidentales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5002.0,,,"510 Otros accidentes, inclusive secuelas",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
5.0,5002.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro15
