columna,columna_1,"CUADRO 4  -  Defunciones por grupos de edad y sexo, según departamento, municipio y área de residencia",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,40141,21679,18461,1,26,16,0,39,33,0,61,61,0,70,64,0,4,3,0,87,71,0,34,28,0,36,28,0,51,35,0,45,39,0,79,53,0,371,115,0,725,150,0,673,153,0,666,209,0,643,237,0,597,320,0,564,332,0,756,519,0,1146,818,0,1649,1150,1,1991,1566,0,2280,1750,0,2377,2068,0,2434,2519,0,2049,2611,0,1521,2197,0,572,1024,0,133,292,0,0,0,0,2022,defunciones,Cuadro4
5.0,5000.0,,,Cabecera municipal,32687,17168,15518,1,19,11,0,24,21,0,40,43,0,49,41,0,3,2,0,57,45,0,20,13,0,22,14,0,31,21,0,26,25,0,56,37,0,273,88,0,543,114,0,506,121,0,518,164,0,502,186,0,456,250,0,433,262,0,596,422,0,926,672,0,1329,961,1,1597,1307,0,1806,1481,0,1900,1753,0,1945,2133,0,1659,2240,0,1231,1928,0,490,908,0,111,255,0,0,0,0,2022,defunciones,Cuadro4
5.0,5000.0,,,Centro poblado,1632,979,653,0,0,2,0,3,4,0,3,2,0,5,5,0,0,0,0,3,2,0,3,0,0,4,3,0,3,2,0,4,2,0,7,3,0,17,10,0,40,6,0,42,9,0,40,6,0,32,13,0,32,18,0,29,7,0,35,16,0,43,39,0,59,44,0,86,61,0,99,64,0,93,68,0,111,79,0,90,85,0,62,60,0,30,33,0,4,10,0,0,0,0,2022,defunciones,Cuadro4
5.0,5000.0,,,Rural disperso,5768,3483,2285,0,7,3,0,12,8,0,18,16,0,16,18,0,1,1,0,27,24,0,11,14,0,10,10,0,17,12,0,14,12,0,16,13,0,79,16,0,137,30,0,119,22,0,103,39,0,101,38,0,103,52,0,99,63,0,121,81,0,173,107,0,259,145,0,308,198,0,374,205,0,384,246,0,376,307,0,300,286,0,228,209,0,52,83,0,18,27,0,0,0,0,2022,defunciones,Cuadro4
5.0,5000.0,,,Sin información,54,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,5,0,0,6,1,0,5,0,0,8,0,0,6,0,0,3,0,0,4,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5001.0,,05001 Medellín,TOTAL,16962,8731,8231,0,8,7,0,9,4,0,14,16,0,20,21,0,1,2,0,23,20,0,8,8,0,7,5,0,12,11,0,13,14,0,18,24,0,108,37,0,243,58,0,208,62,0,266,90,0,240,91,0,234,142,0,204,133,0,301,212,0,486,332,0,731,481,0,856,700,0,966,756,0,1003,896,0,983,1121,0,861,1226,0,626,1089,0,231,509,0,51,164,0,0,0,0,2022,defunciones,Cuadro4
5.0,5001.0,,,Cabecera municipal,16529,8467,8062,0,8,7,0,9,4,0,14,16,0,18,21,0,1,2,0,23,19,0,8,5,0,7,5,0,11,11,0,13,14,0,18,24,0,104,36,0,235,56,0,200,61,0,250,88,0,228,89,0,225,134,0,195,132,0,291,200,0,471,328,0,711,464,0,835,686,0,928,739,0,978,879,0,957,1101,0,842,1205,0,611,1072,0,226,503,0,50,161,0,0,0,0,2022,defunciones,Cuadro4
5.0,5001.0,,,Centro poblado,158,90,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,2,0,5,0,0,7,1,0,5,1,0,3,4,0,5,0,0,4,4,0,4,4,0,10,5,0,7,7,0,9,6,0,9,10,0,9,8,0,3,8,0,1,7,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5001.0,,,Rural disperso,255,157,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,6,1,0,2,1,0,4,4,0,4,1,0,5,8,0,8,0,0,10,12,0,14,7,0,28,11,0,16,6,0,17,12,0,16,13,0,14,10,0,3,6,0,1,3,0,0,0,0,2022,defunciones,Cuadro4
5.0,5001.0,,,Sin información,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,5,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5002.0,,05002 Abejorral,TOTAL,128,67,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,9,1,0,8,1,0,4,4,0,13,4,0,9,15,0,2,8,0,11,12,0,1,9,0,0,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5002.0,,,Cabecera municipal,72,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,3,0,0,1,4,0,8,2,0,5,11,0,2,5,0,3,8,0,0,3,0,0,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5002.0,,,Centro poblado,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5002.0,,,Rural disperso,53,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,5,1,0,3,0,0,5,2,0,3,4,0,0,3,0,8,2,0,1,6,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5004.0,,05004 Abriaquí,TOTAL,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,2,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5004.0,,,Cabecera municipal,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5004.0,,,Centro poblado,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5004.0,,,Rural disperso,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5021.0,,05021 Alejandría,TOTAL,24,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,4,3,0,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5021.0,,,Cabecera municipal,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5021.0,,,Rural disperso,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5021.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5030.0,,05030 Amagá,TOTAL,198,125,73,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,4,0,0,4,2,0,2,0,0,3,1,0,6,0,0,1,3,0,4,2,0,14,7,0,18,6,0,14,13,0,9,11,0,7,9,0,11,11,0,10,4,0,5,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5030.0,,,Cabecera municipal,79,47,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,1,0,2,0,0,0,2,0,1,0,0,8,3,0,5,3,0,10,6,0,4,6,0,2,3,0,4,5,0,2,2,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5030.0,,,Centro poblado,49,32,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,5,2,0,2,3,0,3,4,0,1,2,0,5,3,0,2,0,0,2,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5030.0,,,Rural disperso,69,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,0,1,2,0,3,3,0,8,1,0,2,4,0,2,1,0,4,4,0,2,3,0,6,2,0,1,1,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5030.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5031.0,,05031 Amalfi,TOTAL,135,88,47,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,3,2,0,0,0,0,2,0,0,6,0,0,2,0,0,6,0,0,3,1,0,4,1,0,5,2,0,6,5,0,9,10,0,8,4,0,9,6,0,7,1,0,6,9,0,2,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5031.0,,,Cabecera municipal,79,49,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,0,1,1,0,3,1,0,1,2,0,3,3,0,7,8,0,5,3,0,6,3,0,5,1,0,4,5,0,1,2,0,1,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5031.0,,,Centro poblado,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5031.0,,,Rural disperso,50,34,16,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,3,2,0,2,2,0,2,1,0,3,3,0,2,0,0,2,4,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5031.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5034.0,,05034 Andes,TOTAL,292,173,119,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,3,0,0,9,0,0,5,0,0,6,0,0,10,2,0,1,2,0,8,0,0,1,5,0,8,4,0,15,6,0,13,15,0,18,17,0,14,12,0,22,23,0,18,18,0,14,9,0,3,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5034.0,,,Cabecera municipal,136,75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,4,1,0,1,0,0,2,0,0,1,3,0,5,3,0,8,4,0,4,7,0,8,8,0,4,5,0,10,14,0,9,8,0,6,7,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5034.0,,,Centro poblado,53,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,4,1,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,3,2,0,4,1,0,2,2,0,7,2,0,4,3,0,1,2,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5034.0,,,Rural disperso,103,61,42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,4,0,0,1,0,0,2,0,0,2,0,0,0,1,0,4,0,0,0,2,0,2,1,0,4,2,0,6,6,0,6,8,0,8,5,0,5,7,0,5,7,0,7,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5036.0,,05036 Angelópolis,TOTAL,42,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,1,0,7,4,0,2,1,0,0,3,0,5,4,0,1,0,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5036.0,,,Cabecera municipal,18,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,1,0,1,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5036.0,,,Centro poblado,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5036.0,,,Rural disperso,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,1,1,0,0,3,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro4
5.0,5038.0,,05038 Angostura,TOTAL,68,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,1,0,2,1,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,4,0,2,2,0,3,3,0,7,4,0,8,4,0,4,2,0,0,1,0,3,0,0,0,2,0,0,0,0,2022,defunciones,Cuadro4
