,Departamento de ocurrencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2022,defunciones,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro11
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",260,152,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,1,0,2,2,0,4,1,0,4,0,0,4,2,0,4,8,0,5,5,0,10,7,0,15,6,0,18,13,0,22,12,0,24,10,0,15,13,0,11,14,0,7,8,0,2,4,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,390,228,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,2,0,8,9,0,20,16,0,17,6,0,15,12,0,5,5,0,6,4,0,6,8,0,6,7,0,13,6,0,19,8,0,17,11,0,18,9,0,20,13,0,20,10,0,14,13,0,13,13,0,3,3,0,1,4,0,1,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,023 Melanoma y otros tumores malignos de la piel,1166,617,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,4,7,0,7,11,0,16,6,0,18,19,0,19,25,0,40,25,0,62,27,0,69,47,0,85,39,0,70,74,0,67,79,0,66,81,0,66,58,0,14,38,0,3,13,0,0,0,0,2022,defunciones,Cuadro11
3.0,,024 Tumor maligno de la mama de la mujer,3757,0,3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,0,0,76,0,0,133,0,0,239,0,0,294,0,0,357,0,0,477,0,0,440,0,0,437,0,0,362,0,0,306,0,0,276,0,0,180,0,0,104,0,0,38,0,0,9,0,0,0,0,2022,defunciones,Cuadro11
3.0,,025 Tumor maligno del cuello del útero,1894,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,39,0,0,63,0,0,155,0,0,173,0,0,157,0,0,198,0,0,201,0,0,189,0,0,185,0,0,166,0,0,127,0,0,122,0,0,69,0,0,31,0,0,7,0,0,2,0,0,0,0,2022,defunciones,Cuadro11
3.0,,026 Tumor maligno de otras partes del útero,855,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,0,0,13,0,0,30,0,0,38,0,0,46,0,0,108,0,0,126,0,0,141,0,0,130,0,0,91,0,0,59,0,0,33,0,0,18,0,0,6,0,0,3,0,0,0,0,2022,defunciones,Cuadro11
3.0,,027 Tumor maligno del ovario,1131,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,8,0,0,9,0,0,16,0,0,22,0,0,57,0,0,75,0,0,126,0,0,139,0,0,162,0,0,172,0,0,102,0,0,105,0,0,64,0,0,47,0,0,18,0,0,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,028 Tumor maligno de la próstata,3427,3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,6,0,0,45,0,0,84,0,0,205,0,0,370,0,0,514,0,0,604,0,0,661,0,0,533,0,0,297,0,0,87,0,0,15,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,029 Tumor maligno de la vejiga urinaria,522,354,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,8,3,0,6,6,0,10,10,0,31,7,0,41,19,0,56,22,0,52,29,0,66,31,0,44,18,0,29,15,0,7,5,0,1,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,835,503,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6,0,0,1,0,1,0,0,2,2,0,2,2,0,1,2,0,5,3,0,12,4,0,20,11,0,34,9,0,57,34,0,60,44,0,78,47,0,70,44,0,56,39,0,50,30,0,37,30,0,14,14,0,2,7,0,0,1,0,0,0,0,2022,defunciones,Cuadro11
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1658,873,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,6,0,19,11,0,19,17,0,18,20,0,15,22,0,22,9,0,24,26,0,25,22,0,36,14,0,51,41,0,52,44,0,73,55,0,84,78,0,96,95,0,101,83,0,93,63,0,64,61,0,40,60,0,25,36,0,13,17,0,0,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,579,207,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,2,0,4,0,0,3,1,0,2,2,0,2,0,0,2,0,0,2,5,0,4,4,0,5,8,0,3,10,0,6,14,0,17,17,0,28,61,0,38,60,0,29,52,0,19,45,0,19,42,0,13,33,0,2,10,0,2,4,0,0,1,0,0,0,0,2022,defunciones,Cuadro11
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,374,206,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,3,3,0,2,1,0,1,1,0,2,3,0,0,3,0,9,2,0,3,9,0,9,5,0,20,8,0,23,12,0,32,12,0,25,19,0,27,22,0,21,26,0,17,20,0,10,12,0,1,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
3.0,,034 Tumor maligno de sitios no especificados,1795,842,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,3,0,3,1,0,8,13,0,13,11,0,22,37,0,19,35,0,38,51,0,67,95,0,100,103,0,116,111,0,142,127,0,103,107,0,93,114,0,65,82,0,38,45,0,3,16,0,0,1,0,0,0,0,2022,defunciones,Cuadro11
3.0,,035 Leucemia,1872,1030,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,1,0,18,16,0,33,26,0,47,29,0,69,21,0,59,24,0,52,33,0,41,34,0,37,28,0,52,34,0,34,34,0,58,40,0,44,63,0,67,68,0,70,84,0,89,78,0,101,71,0,81,79,0,49,51,0,15,19,0,6,5,0,0,1,0,0,0,0,2022,defunciones,Cuadro11
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",2404,1326,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,6,4,0,8,8,0,11,2,0,28,7,0,24,13,0,23,22,0,25,20,0,40,29,0,47,36,0,77,65,0,135,81,0,162,122,0,182,150,0,202,158,0,151,131,0,125,114,0,55,80,0,15,28,0,4,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro11
