columna,"CUADRO 2 - Defunciones por persona que certifica la defunción, según departamento, área y sitio donde ocurrió la defunción",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
5.0,,,Vía pública,1659,19,294,1343,3,0,0,2022,defunciones,Cuadro2
5.0,,,Otro sitio,1282,28,291,962,0,1,0,2022,defunciones,Cuadro2
5.0,,,Sin información,464,1,33,275,3,0,152,2022,defunciones,Cuadro2
5.0,,Cabecera municipal,Total,36017,8826,23645,3509,34,3,0,2022,defunciones,Cuadro2
5.0,,,Hospital/clínica,22492,8048,13177,1249,17,1,0,2022,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,102,5,46,51,0,0,0,2022,defunciones,Cuadro2
5.0,,,Casa/domicilio,11606,741,10079,771,13,2,0,2022,defunciones,Cuadro2
5.0,,,Lugar de trabajo,61,1,21,39,0,0,0,2022,defunciones,Cuadro2
5.0,,,Vía pública,979,9,155,812,3,0,0,2022,defunciones,Cuadro2
5.0,,,Otro sitio,646,21,156,469,0,0,0,2022,defunciones,Cuadro2
5.0,,,Sin información,131,1,11,118,1,0,0,2022,defunciones,Cuadro2
5.0,,Centro poblado,Total,915,60,588,261,4,2,0,2022,defunciones,Cuadro2
5.0,,,Hospital/clínica,177,25,138,12,2,0,0,2022,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,18,2,9,7,0,0,0,2022,defunciones,Cuadro2
5.0,,,Casa/domicilio,459,29,381,45,2,2,0,2022,defunciones,Cuadro2
5.0,,,Lugar de trabajo,13,0,3,10,0,0,0,2022,defunciones,Cuadro2
5.0,,,Vía pública,114,1,22,91,0,0,0,2022,defunciones,Cuadro2
5.0,,,Otro sitio,111,3,25,83,0,0,0,2022,defunciones,Cuadro2
5.0,,,Sin información,23,0,10,13,0,0,0,2022,defunciones,Cuadro2
5.0,,Rural disperso,Total,3736,256,2278,1184,14,4,0,2022,defunciones,Cuadro2
5.0,,,Hospital/clínica,889,156,690,41,2,0,0,2022,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,11,1,4,6,0,0,0,2022,defunciones,Cuadro2
5.0,,,Casa/domicilio,1612,86,1332,182,9,3,0,2022,defunciones,Cuadro2
5.0,,,Lugar de trabajo,64,0,13,50,1,0,0,2022,defunciones,Cuadro2
5.0,,,Vía pública,559,9,117,433,0,0,0,2022,defunciones,Cuadro2
5.0,,,Otro sitio,517,4,110,402,0,1,0,2022,defunciones,Cuadro2
5.0,,,Sin información,84,0,12,70,2,0,0,2022,defunciones,Cuadro2
5.0,,Sin información,Total,246,0,0,94,0,0,152,2022,defunciones,Cuadro2
5.0,,,Hospital/clínica,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
5.0,,,Casa/domicilio,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
5.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
5.0,,,Vía pública,7,0,0,7,0,0,0,2022,defunciones,Cuadro2
5.0,,,Otro sitio,8,0,0,8,0,0,0,2022,defunciones,Cuadro2
5.0,,,Sin información,226,0,0,74,0,0,152,2022,defunciones,Cuadro2
8.0,08 Atlántico,Total,Total,16532,5505,9587,1403,3,0,34,2022,defunciones,Cuadro2
8.0,,,Hospital/clínica,12537,5308,6796,432,1,0,0,2022,defunciones,Cuadro2
8.0,,,Centro/puesto de salud,44,8,22,14,0,0,0,2022,defunciones,Cuadro2
8.0,,,Casa/domicilio,2991,182,2681,127,1,0,0,2022,defunciones,Cuadro2
8.0,,,Lugar de trabajo,25,3,12,10,0,0,0,2022,defunciones,Cuadro2
8.0,,,Vía pública,399,1,46,352,0,0,0,2022,defunciones,Cuadro2
8.0,,,Otro sitio,486,3,29,453,1,0,0,2022,defunciones,Cuadro2
8.0,,,Sin información,50,0,1,15,0,0,34,2022,defunciones,Cuadro2
8.0,,Cabecera municipal,Total,16281,5486,9435,1357,3,0,0,2022,defunciones,Cuadro2
8.0,,,Hospital/clínica,12515,5301,6781,432,1,0,0,2022,defunciones,Cuadro2
8.0,,,Centro/puesto de salud,42,8,20,14,0,0,0,2022,defunciones,Cuadro2
8.0,,,Casa/domicilio,2848,170,2553,124,1,0,0,2022,defunciones,Cuadro2
8.0,,,Lugar de trabajo,24,3,11,10,0,0,0,2022,defunciones,Cuadro2
8.0,,,Vía pública,373,1,41,331,0,0,0,2022,defunciones,Cuadro2
8.0,,,Otro sitio,464,3,28,432,1,0,0,2022,defunciones,Cuadro2
8.0,,,Sin información,15,0,1,14,0,0,0,2022,defunciones,Cuadro2
8.0,,Centro poblado,Total,158,17,126,15,0,0,0,2022,defunciones,Cuadro2
8.0,,,Hospital/clínica,22,7,15,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Centro/puesto de salud,2,0,2,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Casa/domicilio,118,10,106,2,0,0,0,2022,defunciones,Cuadro2
8.0,,,Lugar de trabajo,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Vía pública,7,0,2,5,0,0,0,2022,defunciones,Cuadro2
8.0,,,Otro sitio,8,0,0,8,0,0,0,2022,defunciones,Cuadro2
8.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,Rural disperso,Total,57,2,26,29,0,0,0,2022,defunciones,Cuadro2
8.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Casa/domicilio,25,2,22,1,0,0,0,2022,defunciones,Cuadro2
8.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Vía pública,19,0,3,16,0,0,0,2022,defunciones,Cuadro2
8.0,,,Otro sitio,12,0,1,11,0,0,0,2022,defunciones,Cuadro2
8.0,,,Sin información,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
8.0,,Sin información,Total,36,0,0,2,0,0,34,2022,defunciones,Cuadro2
8.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Casa/domicilio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Vía pública,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
8.0,,,Otro sitio,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
8.0,,,Sin información,34,0,0,0,0,0,34,2022,defunciones,Cuadro2
11.0,11 Bogotá,Total,Total,43966,15084,24414,4464,0,1,3,2022,defunciones,Cuadro2
11.0,,,Hospital/clínica,30789,13581,14878,2330,0,0,0,2022,defunciones,Cuadro2
11.0,,,Centro/puesto de salud,67,4,16,47,0,0,0,2022,defunciones,Cuadro2
11.0,,,Casa/domicilio,11746,1412,9339,995,0,0,0,2022,defunciones,Cuadro2
11.0,,,Lugar de trabajo,35,1,7,27,0,0,0,2022,defunciones,Cuadro2
11.0,,,Vía pública,808,1,80,727,0,0,0,2022,defunciones,Cuadro2
11.0,,,Otro sitio,497,85,93,319,0,0,0,2022,defunciones,Cuadro2
11.0,,,Sin información,24,0,1,19,0,1,3,2022,defunciones,Cuadro2
11.0,,Cabecera municipal,Total,43941,15080,24406,4454,0,1,0,2022,defunciones,Cuadro2
11.0,,,Hospital/clínica,30788,13580,14878,2330,0,0,0,2022,defunciones,Cuadro2
11.0,,,Centro/puesto de salud,67,4,16,47,0,0,0,2022,defunciones,Cuadro2
11.0,,,Casa/domicilio,11734,1410,9331,993,0,0,0,2022,defunciones,Cuadro2
11.0,,,Lugar de trabajo,35,1,7,27,0,0,0,2022,defunciones,Cuadro2
11.0,,,Vía pública,806,1,80,725,0,0,0,2022,defunciones,Cuadro2
11.0,,,Otro sitio,490,84,93,313,0,0,0,2022,defunciones,Cuadro2
11.0,,,Sin información,21,0,1,19,0,1,0,2022,defunciones,Cuadro2
11.0,,Centro poblado,Total,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Casa/domicilio,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Vía pública,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Otro sitio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,Rural disperso,Total,19,4,7,8,0,0,0,2022,defunciones,Cuadro2
11.0,,,Hospital/clínica,1,1,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Casa/domicilio,11,2,7,2,0,0,0,2022,defunciones,Cuadro2
11.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Vía pública,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
11.0,,,Otro sitio,5,1,0,4,0,0,0,2022,defunciones,Cuadro2
11.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,Sin información,Total,5,0,0,2,0,0,3,2022,defunciones,Cuadro2
11.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Casa/domicilio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Vía pública,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
11.0,,,Otro sitio,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
11.0,,,Sin información,3,0,0,0,0,0,3,2022,defunciones,Cuadro2
13.0,13 Bolívar,Total,Total,10582,3717,5452,1205,54,0,154,2022,defunciones,Cuadro2
13.0,,,Hospital/clínica,7361,3482,3496,380,3,0,0,2022,defunciones,Cuadro2
13.0,,,Centro/puesto de salud,122,20,47,55,0,0,0,2022,defunciones,Cuadro2
13.0,,,Casa/domicilio,2197,176,1825,145,51,0,0,2022,defunciones,Cuadro2
13.0,,,Lugar de trabajo,28,0,8,20,0,0,0,2022,defunciones,Cuadro2
13.0,,,Vía pública,443,6,49,388,0,0,0,2022,defunciones,Cuadro2
13.0,,,Otro sitio,265,33,22,210,0,0,0,2022,defunciones,Cuadro2
13.0,,,Sin información,166,0,5,7,0,0,154,2022,defunciones,Cuadro2
13.0,,Cabecera municipal,Total,9725,3670,5013,1017,25,0,0,2022,defunciones,Cuadro2
13.0,,,Hospital/clínica,7286,3465,3440,379,2,0,0,2022,defunciones,Cuadro2
13.0,,,Centro/puesto de salud,104,18,34,52,0,0,0,2022,defunciones,Cuadro2
13.0,,,Casa/domicilio,1787,150,1489,125,23,0,0,2022,defunciones,Cuadro2
13.0,,,Lugar de trabajo,14,0,3,11,0,0,0,2022,defunciones,Cuadro2
13.0,,,Vía pública,339,5,30,304,0,0,0,2022,defunciones,Cuadro2
13.0,,,Otro sitio,189,32,14,143,0,0,0,2022,defunciones,Cuadro2
13.0,,,Sin información,6,0,3,3,0,0,0,2022,defunciones,Cuadro2
13.0,,Centro poblado,Total,498,41,359,64,29,0,5,2022,defunciones,Cuadro2
13.0,,,Hospital/clínica,67,13,52,1,1,0,0,2022,defunciones,Cuadro2
13.0,,,Centro/puesto de salud,18,2,13,3,0,0,0,2022,defunciones,Cuadro2
13.0,,,Casa/domicilio,340,24,279,9,28,0,0,2022,defunciones,Cuadro2
13.0,,,Lugar de trabajo,2,0,1,1,0,0,0,2022,defunciones,Cuadro2
13.0,,,Vía pública,35,1,9,25,0,0,0,2022,defunciones,Cuadro2
13.0,,,Otro sitio,29,1,3,25,0,0,0,2022,defunciones,Cuadro2
13.0,,,Sin información,7,0,2,0,0,0,5,2022,defunciones,Cuadro2
13.0,,Rural disperso,Total,210,6,80,124,0,0,0,2022,defunciones,Cuadro2
13.0,,,Hospital/clínica,8,4,4,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Casa/domicilio,70,2,57,11,0,0,0,2022,defunciones,Cuadro2
13.0,,,Lugar de trabajo,12,0,4,8,0,0,0,2022,defunciones,Cuadro2
13.0,,,Vía pública,69,0,10,59,0,0,0,2022,defunciones,Cuadro2
13.0,,,Otro sitio,47,0,5,42,0,0,0,2022,defunciones,Cuadro2
13.0,,,Sin información,4,0,0,4,0,0,0,2022,defunciones,Cuadro2
13.0,,Sin información,Total,149,0,0,0,0,0,149,2022,defunciones,Cuadro2
13.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Casa/domicilio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Vía pública,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Otro sitio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
13.0,,,Sin información,149,0,0,0,0,0,149,2022,defunciones,Cuadro2
15.0,15 Boyacá,Total,Total,7397,2075,4559,752,11,0,0,2022,defunciones,Cuadro2
15.0,,,Hospital/clínica,4057,1624,2211,222,0,0,0,2022,defunciones,Cuadro2
15.0,,,Centro/puesto de salud,55,11,25,19,0,0,0,2022,defunciones,Cuadro2
15.0,,,Casa/domicilio,2723,409,2187,118,9,0,0,2022,defunciones,Cuadro2
15.0,,,Lugar de trabajo,67,0,11,56,0,0,0,2022,defunciones,Cuadro2
15.0,,,Vía pública,256,7,43,206,0,0,0,2022,defunciones,Cuadro2
15.0,,,Otro sitio,236,24,80,130,2,0,0,2022,defunciones,Cuadro2
15.0,,,Sin información,3,0,2,1,0,0,0,2022,defunciones,Cuadro2
15.0,,Cabecera municipal,Total,5707,1876,3437,393,1,0,0,2022,defunciones,Cuadro2
15.0,,,Hospital/clínica,4037,1622,2195,220,0,0,0,2022,defunciones,Cuadro2
15.0,,,Centro/puesto de salud,46,10,25,11,0,0,0,2022,defunciones,Cuadro2
15.0,,,Casa/domicilio,1423,221,1137,64,1,0,0,2022,defunciones,Cuadro2
15.0,,,Lugar de trabajo,13,0,6,7,0,0,0,2022,defunciones,Cuadro2
15.0,,,Vía pública,88,3,18,67,0,0,0,2022,defunciones,Cuadro2
15.0,,,Otro sitio,97,20,54,23,0,0,0,2022,defunciones,Cuadro2
15.0,,,Sin información,3,0,2,1,0,0,0,2022,defunciones,Cuadro2
15.0,,Centro poblado,Total,45,6,29,10,0,0,0,2022,defunciones,Cuadro2
15.0,,,Hospital/clínica,1,1,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Centro/puesto de salud,1,1,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Casa/domicilio,33,4,27,2,0,0,0,2022,defunciones,Cuadro2
15.0,,,Lugar de trabajo,2,0,1,1,0,0,0,2022,defunciones,Cuadro2
15.0,,,Vía pública,5,0,1,4,0,0,0,2022,defunciones,Cuadro2
15.0,,,Otro sitio,3,0,0,3,0,0,0,2022,defunciones,Cuadro2
15.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,Rural disperso,Total,1643,193,1093,347,10,0,0,2022,defunciones,Cuadro2
15.0,,,Hospital/clínica,19,1,16,2,0,0,0,2022,defunciones,Cuadro2
15.0,,,Centro/puesto de salud,8,0,0,8,0,0,0,2022,defunciones,Cuadro2
15.0,,,Casa/domicilio,1267,184,1023,52,8,0,0,2022,defunciones,Cuadro2
15.0,,,Lugar de trabajo,52,0,4,48,0,0,0,2022,defunciones,Cuadro2
15.0,,,Vía pública,162,4,24,134,0,0,0,2022,defunciones,Cuadro2
15.0,,,Otro sitio,135,4,26,103,2,0,0,2022,defunciones,Cuadro2
15.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,Sin información,Total,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
15.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Casa/domicilio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
15.0,,,Vía pública,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
15.0,,,Otro sitio,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
15.0,,,Sin información,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,17 Caldas,Total,Total,7329,3194,3477,658,0,0,0,2022,defunciones,Cuadro2
17.0,,,Hospital/clínica,4378,2731,1423,224,0,0,0,2022,defunciones,Cuadro2
17.0,,,Centro/puesto de salud,38,10,12,16,0,0,0,2022,defunciones,Cuadro2
17.0,,,Casa/domicilio,2535,444,1956,135,0,0,0,2022,defunciones,Cuadro2
17.0,,,Lugar de trabajo,34,0,10,24,0,0,0,2022,defunciones,Cuadro2
17.0,,,Vía pública,174,2,29,143,0,0,0,2022,defunciones,Cuadro2
17.0,,,Otro sitio,159,6,45,108,0,0,0,2022,defunciones,Cuadro2
17.0,,,Sin información,11,1,2,8,0,0,0,2022,defunciones,Cuadro2
17.0,,Cabecera municipal,Total,6499,3115,2932,452,0,0,0,2022,defunciones,Cuadro2
17.0,,,Hospital/clínica,4357,2718,1416,223,0,0,0,2022,defunciones,Cuadro2
17.0,,,Centro/puesto de salud,22,5,3,14,0,0,0,2022,defunciones,Cuadro2
17.0,,,Casa/domicilio,1936,389,1452,95,0,0,0,2022,defunciones,Cuadro2
17.0,,,Lugar de trabajo,13,0,6,7,0,0,0,2022,defunciones,Cuadro2
17.0,,,Vía pública,90,0,19,71,0,0,0,2022,defunciones,Cuadro2
17.0,,,Otro sitio,76,3,35,38,0,0,0,2022,defunciones,Cuadro2
17.0,,,Sin información,5,0,1,4,0,0,0,2022,defunciones,Cuadro2
17.0,,Centro poblado,Total,210,37,147,26,0,0,0,2022,defunciones,Cuadro2
17.0,,,Hospital/clínica,20,13,7,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Centro/puesto de salud,16,5,9,2,0,0,0,2022,defunciones,Cuadro2
17.0,,,Casa/domicilio,148,16,125,7,0,0,0,2022,defunciones,Cuadro2
17.0,,,Lugar de trabajo,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Vía pública,12,0,2,10,0,0,0,2022,defunciones,Cuadro2
17.0,,,Otro sitio,11,3,3,5,0,0,0,2022,defunciones,Cuadro2
17.0,,,Sin información,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
17.0,,Rural disperso,Total,618,42,398,178,0,0,0,2022,defunciones,Cuadro2
17.0,,,Hospital/clínica,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
17.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Casa/domicilio,451,39,379,33,0,0,0,2022,defunciones,Cuadro2
17.0,,,Lugar de trabajo,20,0,3,17,0,0,0,2022,defunciones,Cuadro2
17.0,,,Vía pública,71,2,8,61,0,0,0,2022,defunciones,Cuadro2
17.0,,,Otro sitio,72,0,7,65,0,0,0,2022,defunciones,Cuadro2
17.0,,,Sin información,3,1,1,1,0,0,0,2022,defunciones,Cuadro2
17.0,,Sin información,Total,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
17.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Centro/puesto de salud,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Casa/domicilio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Vía pública,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
17.0,,,Otro sitio,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
17.0,,,Sin información,1,0,0,1,0,0,0,2022,defunciones,Cuadro2
18.0,18 Caquetá,Total,Total,1823,407,1059,354,3,0,0,2022,defunciones,Cuadro2
18.0,,,Hospital/clínica,951,350,536,64,1,0,0,2022,defunciones,Cuadro2
18.0,,,Centro/puesto de salud,8,1,6,1,0,0,0,2022,defunciones,Cuadro2
18.0,,,Casa/domicilio,584,49,482,52,1,0,0,2022,defunciones,Cuadro2
18.0,,,Lugar de trabajo,8,0,1,7,0,0,0,2022,defunciones,Cuadro2
18.0,,,Vía pública,121,0,13,108,0,0,0,2022,defunciones,Cuadro2
18.0,,,Otro sitio,135,7,18,109,1,0,0,2022,defunciones,Cuadro2
18.0,,,Sin información,16,0,3,13,0,0,0,2022,defunciones,Cuadro2
18.0,,Cabecera municipal,Total,1496,400,929,166,1,0,0,2022,defunciones,Cuadro2
18.0,,,Hospital/clínica,943,349,529,64,1,0,0,2022,defunciones,Cuadro2
18.0,,,Centro/puesto de salud,6,1,4,1,0,0,0,2022,defunciones,Cuadro2
18.0,,,Casa/domicilio,450,44,378,28,0,0,0,2022,defunciones,Cuadro2
18.0,,,Lugar de trabajo,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
18.0,,,Vía pública,44,0,6,38,0,0,0,2022,defunciones,Cuadro2
18.0,,,Otro sitio,47,6,11,30,0,0,0,2022,defunciones,Cuadro2
18.0,,,Sin información,4,0,1,3,0,0,0,2022,defunciones,Cuadro2
18.0,,Centro poblado,Total,59,3,40,16,0,0,0,2022,defunciones,Cuadro2
18.0,,,Hospital/clínica,8,1,7,0,0,0,0,2022,defunciones,Cuadro2
18.0,,,Centro/puesto de salud,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
18.0,,,Casa/domicilio,35,1,31,3,0,0,0,2022,defunciones,Cuadro2
18.0,,,Lugar de trabajo,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
18.0,,,Vía pública,7,0,1,6,0,0,0,2022,defunciones,Cuadro2
18.0,,,Otro sitio,6,1,0,5,0,0,0,2022,defunciones,Cuadro2
18.0,,,Sin información,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
18.0,,Rural disperso,Total,260,4,90,164,2,0,0,2022,defunciones,Cuadro2
18.0,,,Hospital/clínica,0,0,0,0,0,0,0,2022,defunciones,Cuadro2
18.0,,,Centro/puesto de salud,1,0,1,0,0,0,0,2022,defunciones,Cuadro2
18.0,,,Casa/domicilio,99,4,73,21,1,0,0,2022,defunciones,Cuadro2
18.0,,,Lugar de trabajo,6,0,1,5,0,0,0,2022,defunciones,Cuadro2
