columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
44.0,,Sin información,113,23,4,9,0,30,23,24,2022,defunciones,Cuadro6
47.0,47 Magdalena,TOTAL,6593,4294,66,1514,21,444,196,58,2022,defunciones,Cuadro6
47.0,,Contributivo,1709,1191,11,339,4,100,54,10,2022,defunciones,Cuadro6
47.0,,Subsidiado,4393,2825,51,1088,13,288,112,16,2022,defunciones,Cuadro6
47.0,,Excepción,140,121,1,18,0,0,0,0,2022,defunciones,Cuadro6
47.0,,Especial,9,1,0,8,0,0,0,0,2022,defunciones,Cuadro6
47.0,,No asegurado,176,126,1,47,1,1,0,0,2022,defunciones,Cuadro6
47.0,,Sin información,166,30,2,14,3,55,30,32,2022,defunciones,Cuadro6
50.0,50 Meta,TOTAL,5852,3800,85,1438,37,310,175,7,2022,defunciones,Cuadro6
50.0,,Contributivo,1752,1162,11,398,19,115,45,2,2022,defunciones,Cuadro6
50.0,,Subsidiado,3773,2437,69,967,16,167,113,4,2022,defunciones,Cuadro6
50.0,,Excepción,167,125,1,38,0,2,1,0,2022,defunciones,Cuadro6
50.0,,Especial,9,5,0,4,0,0,0,0,2022,defunciones,Cuadro6
50.0,,No asegurado,63,40,1,17,0,3,2,0,2022,defunciones,Cuadro6
50.0,,Sin información,88,31,3,14,2,23,14,1,2022,defunciones,Cuadro6
52.0,52 Nariño,TOTAL,9081,4536,80,3433,32,525,321,154,2022,defunciones,Cuadro6
52.0,,Contributivo,1517,910,7,471,8,81,35,5,2022,defunciones,Cuadro6
52.0,,Subsidiado,7023,3370,71,2852,18,393,255,64,2022,defunciones,Cuadro6
52.0,,Excepción,271,200,1,66,2,2,0,0,2022,defunciones,Cuadro6
52.0,,Especial,15,7,0,6,0,2,0,0,2022,defunciones,Cuadro6
52.0,,No asegurado,79,34,0,23,1,14,5,2,2022,defunciones,Cuadro6
52.0,,Sin información,176,15,1,15,3,33,26,83,2022,defunciones,Cuadro6
54.0,54 Norte de Santander,TOTAL,9233,5495,103,2800,57,485,211,82,2022,defunciones,Cuadro6
54.0,,Contributivo,2086,1365,9,558,28,83,38,5,2022,defunciones,Cuadro6
54.0,,Subsidiado,6087,3523,82,2048,20,266,126,22,2022,defunciones,Cuadro6
54.0,,Excepción,316,257,1,56,0,1,1,0,2022,defunciones,Cuadro6
54.0,,Especial,6,4,0,2,0,0,0,0,2022,defunciones,Cuadro6
54.0,,No asegurado,425,300,8,102,0,8,7,0,2022,defunciones,Cuadro6
54.0,,Sin información,313,46,3,34,9,127,39,55,2022,defunciones,Cuadro6
63.0,63 Quindío,TOTAL,4733,3195,6,1223,6,166,126,11,2022,defunciones,Cuadro6
63.0,,Contributivo,2005,1412,1,491,3,56,41,1,2022,defunciones,Cuadro6
63.0,,Subsidiado,2453,1607,4,670,3,99,64,6,2022,defunciones,Cuadro6
63.0,,Excepción,178,138,0,37,0,1,2,0,2022,defunciones,Cuadro6
63.0,,Especial,5,2,0,3,0,0,0,0,2022,defunciones,Cuadro6
63.0,,No asegurado,30,23,0,6,0,1,0,0,2022,defunciones,Cuadro6
63.0,,Sin información,62,13,1,16,0,9,19,4,2022,defunciones,Cuadro6
66.0,66 Risaralda,TOTAL,8165,5549,15,2178,20,263,133,7,2022,defunciones,Cuadro6
66.0,,Contributivo,3694,2530,5,1014,9,92,44,0,2022,defunciones,Cuadro6
66.0,,Subsidiado,4030,2708,7,1073,9,151,78,4,2022,defunciones,Cuadro6
66.0,,Excepción,247,199,1,45,0,1,1,0,2022,defunciones,Cuadro6
66.0,,Especial,3,0,0,3,0,0,0,0,2022,defunciones,Cuadro6
66.0,,No asegurado,126,91,1,31,0,3,0,0,2022,defunciones,Cuadro6
66.0,,Sin información,65,21,1,12,2,16,10,3,2022,defunciones,Cuadro6
68.0,68 Santander,TOTAL,14020,9160,40,3882,42,484,403,9,2022,defunciones,Cuadro6
