,Departamento de residencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,TOTAL,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2025,defunciones,Cuadro12
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro12
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,786,282,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,1,7,0,4,11,0,16,35,0,24,41,0,27,68,0,40,84,0,63,71,0,43,73,0,25,48,0,19,38,0,8,17,0,3,6,0,2,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,017 Tumor maligno del páncreas,1531,736,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,10,5,0,12,9,0,15,21,0,35,41,0,60,62,0,101,87,0,132,121,0,130,124,0,110,102,0,63,105,0,45,68,0,19,36,0,1,10,0,1,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,500,246,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,1,0,5,2,0,6,5,0,8,8,0,4,11,0,12,15,0,17,20,0,37,30,0,35,32,0,31,41,0,31,34,0,24,22,0,16,21,0,9,9,0,3,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,019 Tumor maligno de la laringe,204,168,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,3,1,0,6,3,0,22,2,0,26,6,0,34,6,0,21,3,0,24,4,0,19,3,0,4,1,0,4,1,0,0,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",2842,1577,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,12,6,0,14,10,0,14,23,0,30,24,0,43,48,0,74,85,0,159,145,0,277,186,0,302,212,0,293,188,0,184,154,0,112,125,0,49,43,0,8,12,0,1,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",169,83,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,2,0,2,3,0,4,0,0,2,0,0,3,2,0,4,1,0,5,2,0,8,9,0,4,4,0,15,9,0,12,9,0,7,13,0,6,9,0,4,9,0,1,5,0,0,7,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,240,146,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4,4,0,11,1,0,14,7,0,6,2,0,7,2,0,5,1,0,10,8,0,5,4,0,5,2,0,11,7,0,15,5,0,9,8,0,9,12,0,13,6,0,8,4,0,5,9,0,5,4,0,1,1,0,2,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,023 Melanoma y otros tumores malignos de la piel,773,456,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,3,1,0,4,5,0,8,7,0,9,14,0,13,15,0,26,25,0,54,19,0,50,31,0,46,30,0,65,38,0,58,38,0,64,41,0,31,27,0,14,21,0,6,2,0,0,0,0,2025,defunciones,Cuadro12
3.0,,024 Tumor maligno de la mama de la mujer,2269,0,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,46,0,0,80,0,0,139,0,0,154,0,0,213,0,0,272,0,0,255,0,0,225,0,0,206,0,0,241,0,0,190,0,0,120,0,0,80,0,0,37,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,025 Tumor maligno del cuello del útero,1106,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,52,0,0,76,0,0,101,0,0,109,0,0,98,0,0,117,0,0,112,0,0,113,0,0,88,0,0,85,0,0,67,0,0,48,0,0,17,0,0,6,0,0,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,026 Tumor maligno de otras partes del útero,542,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,15,0,0,27,0,0,32,0,0,62,0,0,74,0,0,85,0,0,85,0,0,60,0,0,35,0,0,21,0,0,22,0,0,5,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,027 Tumor maligno del ovario,749,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,6,0,0,8,0,0,32,0,0,45,0,0,80,0,0,92,0,0,95,0,0,97,0,0,96,0,0,78,0,0,59,0,0,36,0,0,10,0,0,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,028 Tumor maligno de la próstata,2247,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,10,0,0,60,0,0,118,0,0,234,0,0,352,0,0,413,0,0,450,0,0,358,0,0,175,0,0,64,0,0,8,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,029 Tumor maligno de la vejiga urinaria,374,246,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,4,1,0,4,0,0,2,4,0,8,7,0,18,4,0,40,20,0,42,20,0,41,18,0,34,16,0,31,20,0,15,10,0,3,4,0,2,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,580,399,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,2,0,8,3,0,13,5,0,24,9,0,35,25,0,48,30,0,49,17,0,73,22,0,49,30,0,48,15,0,30,16,0,8,4,0,2,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1041,564,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,14,14,0,12,8,0,9,6,0,16,9,0,17,12,0,12,14,0,23,16,0,32,29,0,29,16,0,41,32,0,55,53,0,58,60,0,72,61,0,70,46,0,41,35,0,31,27,0,18,21,0,8,8,0,3,6,0,1,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,389,125,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,0,1,0,0,1,3,0,2,3,0,5,4,0,6,14,0,12,18,0,16,37,0,18,39,0,22,46,0,16,34,0,5,29,0,8,23,0,3,6,0,1,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,211,110,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,2,1,0,3,2,0,3,5,0,2,6,0,9,7,0,10,4,0,12,18,0,19,10,0,21,10,0,7,16,0,12,9,0,6,8,0,0,1,0,1,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,034 Tumor maligno de sitios no especificados,833,386,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,3,0,2,5,0,6,11,0,8,12,0,13,16,0,13,16,0,22,34,0,47,36,0,57,53,0,53,66,0,56,69,0,49,55,0,25,44,0,23,18,0,5,7,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,035 Leucemia,1204,671,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2,4,0,20,9,0,22,16,0,21,18,0,31,22,0,31,15,0,28,16,0,21,15,0,31,17,0,27,21,0,27,27,0,26,19,0,31,31,0,52,38,0,55,52,0,58,53,0,80,53,0,47,47,0,44,34,0,11,16,0,2,7,0,0,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",1618,902,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,8,2,0,5,1,0,13,10,0,8,8,0,17,8,0,35,21,0,30,18,0,50,42,0,85,51,0,108,77,0,123,115,0,128,111,0,136,113,0,84,73,0,55,47,0,13,12,0,2,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",2288,1176,1112,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,4,1,0,6,3,0,4,12,0,15,12,0,15,12,0,26,17,0,22,18,0,21,27,0,43,42,0,46,45,0,69,62,0,91,91,0,143,103,0,175,162,0,158,138,0,162,146,0,103,122,0,51,66,0,12,27,0,3,1,0,0,0,0,2025,defunciones,Cuadro12
3.0,,038 Todos los demás tumores malignos de otras localizaciones,686,389,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,0,5,3,0,25,2,0,29,3,0,25,8,0,18,8,0,15,17,0,19,10,0,24,8,0,28,18,0,43,36,0,37,40,0,30,38,0,30,33,0,27,30,0,23,24,0,6,11,0,3,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
