columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
13.0,13052.0,,,De 30-34 Años,62,0,6,5,20,0,0,15,5,6,1,0,0,2,2,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 35-39 Años,41,1,3,7,12,1,0,6,2,9,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 40-44 Años,7,0,0,1,2,0,0,0,1,3,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,13062 Arroyohondo,Total,21,0,2,6,11,1,0,0,0,0,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 10-14 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 15-19 Años,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 20-24 Años,6,0,1,1,3,0,0,0,0,0,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 25-29 Años,6,0,0,3,2,1,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 30-34 Años,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 35-39 Años,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 40-44 Años,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13062.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13074.0,,13074 Barranco de Loba,Total,128,0,26,38,50,2,0,0,2,2,0,0,0,2,6,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 10-14 Años,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 15-19 Años,43,0,8,14,16,1,0,0,1,0,0,0,0,1,2,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 20-24 Años,36,0,9,12,12,1,0,0,0,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 25-29 Años,23,0,4,6,11,0,0,0,1,0,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 30-34 Años,19,0,4,5,7,0,0,0,0,2,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 35-39 Años,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 40-44 Años,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13074.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13074.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,13140 Calamar,Total,124,0,19,42,43,2,0,15,1,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 10-14 Años,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 15-19 Años,26,0,6,12,7,0,0,1,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 20-24 Años,45,0,7,12,19,0,0,7,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 25-29 Años,24,0,3,10,7,1,0,3,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 30-34 Años,16,0,1,3,7,1,0,2,0,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 35-39 Años,9,0,0,3,3,0,0,2,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 40-44 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
