columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
19.0,19 Cauca,Total,6658,3434,3224,0,1208,1171,0,333,333,0,1893,1720,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Indígena,1427,742,685,0,62,62,0,81,84,0,599,539,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Palenquero de San Basilio,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",545,300,245,0,130,107,0,39,25,0,131,113,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Ninguno de las anteriores,4685,2391,2294,0,1016,1002,0,213,224,0,1162,1068,0,0,0,0,2025,nacimientos,Cuadro11
19.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
20.0,20 Cesar,Total,8093,4194,3899,0,3259,3025,0,551,502,0,384,372,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Indígena,284,141,143,0,43,46,0,33,27,0,65,70,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",279,163,116,0,127,95,0,18,19,0,18,2,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Ninguno de las anteriores,7530,3890,3640,0,3089,2884,0,500,456,0,301,300,0,0,0,0,2025,nacimientos,Cuadro11
20.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
