columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen,cuadro,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo"
20.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",51,23,28,0,20,24,0,1,3,0,2,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Ninguno de las anteriores,1706,852,854,0,676,665,0,105,116,0,71,73,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,23 Córdoba,Total,1951,1003,948,0,609,562,0,111,141,0,283,245,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Indígena,22,7,15,0,0,2,0,0,1,0,7,12,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Ninguno de las anteriores,1928,995,933,0,608,560,0,111,140,0,276,233,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
23.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,25 Cundinamarca,Total,2562,1293,1269,0,910,906,0,17,14,0,366,349,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Indígena,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Raizal del archipiélago de San Andrés y Providencia,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",4,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Ninguno de las anteriores,2554,1289,1265,0,907,903,0,17,14,0,365,348,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
25.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,27 Chocó,Total,522,269,253,0,199,201,0,32,26,0,38,26,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Indígena,41,26,15,0,11,7,0,6,3,0,9,5,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Palenquero de San Basilio,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",341,172,169,0,150,149,0,10,9,0,12,11,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Ninguno de las anteriores,139,71,68,0,38,45,0,16,13,0,17,10,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
27.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,41 Huila,Total,1358,711,647,0,416,373,0,74,69,0,221,205,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Indígena,17,8,9,0,0,0,0,2,1,0,6,8,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Ninguno de las anteriores,1339,702,637,0,415,372,0,72,68,0,215,197,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
41.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,44 La Guajira,Total,1840,952,888,0,510,476,0,95,80,0,347,332,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Indígena,993,507,486,0,154,146,0,54,50,0,299,290,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",9,4,5,0,4,4,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Ninguno de las anteriores,838,441,397,0,352,326,0,41,29,0,48,42,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
44.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,47 Magdalena,Total,1658,848,810,0,650,624,0,160,142,0,38,44,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Indígena,5,2,3,0,1,1,0,0,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Palenquero de San Basilio,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Ninguno de las anteriores,1649,844,805,0,648,621,0,159,141,0,37,43,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
47.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,50 Meta,Total,1156,605,551,0,496,442,0,26,19,0,83,90,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,Indígena,45,21,24,0,5,4,0,0,1,0,16,19,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
