columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen,cuadro
19.0,19622.0,,,Rural disperso,13,11,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19622.0,,,Sin información,19,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,3,0,5,1,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19693.0,,19693 San Sebastián,TOTAL,55,26,29,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,8,14,0,13,11,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19693.0,,,Cabecera municipal,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19693.0,,,Centro poblado,12,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,4,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19693.0,,,Rural disperso,40,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,6,11,0,9,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19693.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19698.0,,19698 Santander de Quilichao,TOTAL,589,382,207,0,2,1,0,2,0,0,2,4,0,165,28,0,52,22,0,95,83,0,62,62,0,2,7,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19698.0,,,Cabecera municipal,375,229,146,0,1,0,0,1,0,0,1,1,0,80,17,0,36,18,0,64,64,0,44,40,0,2,6,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19698.0,,,Centro poblado,36,21,15,0,0,0,0,0,0,0,0,0,0,12,5,0,2,0,0,6,4,0,1,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19698.0,,,Rural disperso,175,131,44,0,1,1,0,1,0,0,1,3,0,73,6,0,14,3,0,24,14,0,17,16,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19698.0,,,Sin información,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19701.0,,19701 Santa Rosa,TOTAL,21,13,8,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,0,6,3,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19701.0,,,Cabecera municipal,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19701.0,,,Centro poblado,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19701.0,,,Rural disperso,14,8,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,4,3,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19701.0,,,Sin información,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19743.0,,19743 Silvia,TOTAL,116,62,54,0,0,1,0,0,0,0,0,0,0,8,4,0,14,8,0,27,30,0,13,11,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19743.0,,,Cabecera municipal,22,11,11,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,0,3,7,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19743.0,,,Centro poblado,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19743.0,,,Rural disperso,78,38,40,0,0,1,0,0,0,0,0,0,0,5,3,0,7,5,0,19,22,0,7,9,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19743.0,,,Sin información,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19760.0,,19760 Sotará - Paispamba,TOTAL,21,15,6,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,9,3,0,2,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19760.0,,,Cabecera municipal,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19760.0,,,Centro poblado,13,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19760.0,,,Rural disperso,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19760.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19780.0,,19780 Suárez,TOTAL,82,61,21,0,0,1,0,0,0,0,0,0,0,29,6,0,10,4,0,16,6,0,6,3,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19780.0,,,Cabecera municipal,26,21,5,0,0,0,0,0,0,0,0,0,0,8,0,0,4,1,0,6,3,0,3,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19780.0,,,Centro poblado,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19780.0,,,Rural disperso,44,33,11,0,0,0,0,0,0,0,0,0,0,19,5,0,6,2,0,6,2,0,2,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19780.0,,,Sin información,6,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19785.0,,19785 Sucre,TOTAL,21,17,4,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,7,2,0,5,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19785.0,,,Cabecera municipal,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19785.0,,,Centro poblado,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19785.0,,,Rural disperso,10,7,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19785.0,,,Sin información,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19807.0,,19807 Timbío,TOTAL,145,82,63,0,0,0,0,0,0,0,1,0,0,18,5,0,11,11,0,29,15,0,22,31,0,1,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19807.0,,,Cabecera municipal,46,21,25,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,12,7,0,6,11,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19807.0,,,Centro poblado,15,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,1,8,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19807.0,,,Rural disperso,84,57,27,0,0,0,0,0,0,0,1,0,0,14,3,0,10,6,0,16,6,0,15,12,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19807.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19809.0,,19809 Timbiquí,TOTAL,50,29,21,0,2,5,0,0,0,0,0,0,0,14,3,0,3,3,0,6,6,0,4,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19809.0,,,Cabecera municipal,24,13,11,0,2,5,0,0,0,0,0,0,0,6,2,0,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19809.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19809.0,,,Rural disperso,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19809.0,,,Sin información,23,13,10,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,3,5,0,4,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19821.0,,19821 Toribío,TOTAL,105,69,36,0,3,0,0,1,1,0,0,0,0,20,1,0,9,4,0,18,13,0,18,17,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19821.0,,,Cabecera municipal,17,15,2,0,1,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19821.0,,,Centro poblado,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19821.0,,,Rural disperso,81,47,34,0,2,0,0,0,1,0,0,0,0,6,1,0,6,4,0,16,13,0,17,15,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19821.0,,,Sin información,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19824.0,,19824 Totoró,TOTAL,57,35,22,0,4,0,0,1,1,0,0,0,0,2,3,0,5,1,0,13,8,0,10,9,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19824.0,,,Cabecera municipal,11,9,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19824.0,,,Centro poblado,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19824.0,,,Rural disperso,41,24,17,0,1,0,0,0,0,0,0,0,0,2,2,0,5,1,0,8,7,0,8,7,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19824.0,,,Sin información,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19845.0,,19845 Villa Rica,TOTAL,77,47,30,0,0,1,0,0,0,0,1,0,0,23,7,0,6,1,0,12,12,0,5,8,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19845.0,,,Cabecera municipal,50,27,23,0,0,1,0,0,0,0,0,0,0,10,2,0,4,1,0,8,10,0,5,8,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19845.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19845.0,,,Rural disperso,24,18,6,0,0,0,0,0,0,0,1,0,0,12,4,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19845.0,,,Sin información,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19999.0,,Sin Información,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19999.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19999.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19999.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
19.0,19999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20000.0,20 Cesar,Total Dpto,TOTAL,6185,3655,2524,6,148,127,1,43,36,0,44,34,0,766,288,0,690,504,0,1381,930,4,569,588,0,13,16,0,1,1,1,2022,defunciones,Cuadro3,cuadro3
20.0,20000.0,,,Cabecera municipal,5556,3193,2358,5,145,124,1,37,34,0,37,29,0,609,264,0,591,483,0,1249,867,4,513,541,0,11,16,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20000.0,,,Centro poblado,283,180,103,0,1,0,0,3,2,0,2,3,0,25,9,0,40,7,0,78,43,0,30,39,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20000.0,,,Rural disperso,309,259,49,1,2,2,0,3,0,0,4,2,0,128,15,0,57,12,0,42,12,0,22,6,0,1,0,0,0,0,1,2022,defunciones,Cuadro3,cuadro3
20.0,20000.0,,,Sin información,37,23,14,0,0,1,0,0,0,0,1,0,0,4,0,0,2,2,0,12,8,0,4,2,0,0,0,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
20.0,20001.0,,20001 Valledupar,TOTAL,3899,2205,1693,1,122,103,0,25,26,0,26,23,0,396,185,0,421,375,0,884,621,1,327,348,0,4,11,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
20.0,20001.0,,,Cabecera municipal,3786,2127,1658,1,122,102,0,23,26,0,25,21,0,371,181,0,406,368,0,859,608,1,317,341,0,4,11,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20001.0,,,Centro poblado,52,37,15,0,0,0,0,0,0,0,1,1,0,8,1,0,8,4,0,15,4,0,5,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20001.0,,,Rural disperso,34,26,8,0,0,0,0,2,0,0,0,1,0,14,3,0,5,1,0,3,3,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20001.0,,,Sin información,27,15,12,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,0,7,6,0,3,2,0,0,0,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
20.0,20011.0,,20011 Aguachica,TOTAL,584,360,222,2,5,5,1,3,2,0,3,2,0,92,19,0,66,36,0,136,84,0,54,73,0,0,1,0,1,0,1,2022,defunciones,Cuadro3,cuadro3
20.0,20011.0,,,Cabecera municipal,536,325,210,1,5,5,1,3,2,0,3,1,0,75,18,0,61,34,0,125,78,0,52,71,0,0,1,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20011.0,,,Centro poblado,10,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20011.0,,,Rural disperso,35,28,6,1,0,0,0,0,0,0,0,0,0,17,1,0,4,2,0,5,3,0,2,0,0,0,0,0,0,0,1,2022,defunciones,Cuadro3,cuadro3
20.0,20011.0,,,Sin información,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20013.0,,20013 Agustín Codazzi,TOTAL,159,104,55,0,0,0,0,1,2,0,3,0,0,29,10,0,18,6,0,33,22,0,20,14,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20013.0,,,Cabecera municipal,128,79,49,0,0,0,0,1,2,0,2,0,0,17,8,0,14,4,0,25,22,0,20,12,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20013.0,,,Centro poblado,7,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20013.0,,,Rural disperso,23,21,2,0,0,0,0,0,0,0,1,0,0,12,1,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20013.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20032.0,,20032 Astrea,TOTAL,53,35,18,0,0,1,0,2,0,0,0,0,0,5,4,0,6,4,0,9,4,0,12,5,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20032.0,,,Cabecera municipal,33,20,13,0,0,1,0,2,0,0,0,0,0,3,3,0,4,2,0,3,3,0,7,4,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20032.0,,,Centro poblado,13,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,0,4,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20032.0,,,Rural disperso,7,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20032.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20045.0,,20045 Becerril,TOTAL,48,30,18,0,0,1,0,1,0,0,1,1,0,10,4,0,2,2,0,11,8,0,5,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20045.0,,,Cabecera municipal,39,23,16,0,0,0,0,1,0,0,1,1,0,5,3,0,1,2,0,10,8,0,5,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20045.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20045.0,,,Rural disperso,7,5,2,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20045.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20060.0,,20060 Bosconia,TOTAL,255,164,91,0,12,10,0,3,3,0,2,1,0,45,18,0,23,15,0,54,31,0,24,12,0,1,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20060.0,,,Cabecera municipal,241,153,88,0,12,10,0,3,2,0,2,1,0,38,17,0,22,14,0,51,31,0,24,12,0,1,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20060.0,,,Centro poblado,3,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20060.0,,,Rural disperso,10,8,2,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20060.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20175.0,,20175 Chimichagua,TOTAL,93,57,36,0,1,0,0,0,0,0,1,1,0,8,5,0,9,2,0,26,11,0,12,17,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20175.0,,,Cabecera municipal,40,25,15,0,1,0,0,0,0,0,1,1,0,2,2,0,4,1,0,13,4,0,4,7,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20175.0,,,Centro poblado,27,13,14,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,8,4,0,2,8,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20175.0,,,Rural disperso,26,19,7,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,5,3,0,6,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20175.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20178.0,,20178 Chiriguaná,TOTAL,163,97,66,0,1,3,0,0,0,0,1,0,0,30,5,0,17,11,0,36,28,0,12,19,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20178.0,,,Cabecera municipal,137,77,60,0,1,3,0,0,0,0,1,0,0,18,5,0,15,10,0,33,26,0,9,16,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20178.0,,,Centro poblado,12,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,0,1,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20178.0,,,Rural disperso,14,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20178.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20228.0,,20228 Curumaní,TOTAL,106,69,37,0,0,1,0,0,0,0,0,0,0,17,8,0,14,7,0,23,7,0,13,14,0,2,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20228.0,,,Cabecera municipal,87,57,30,0,0,1,0,0,0,0,0,0,0,13,6,0,11,6,0,20,6,0,11,11,0,2,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20228.0,,,Centro poblado,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20228.0,,,Rural disperso,10,7,3,0,0,0,0,0,0,0,0,0,0,4,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20228.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20238.0,,20238 El Copey,TOTAL,112,73,36,3,1,0,0,2,0,0,0,0,0,27,7,0,8,8,0,19,12,3,14,9,0,2,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20238.0,,,Cabecera municipal,84,48,33,3,1,0,0,1,0,0,0,0,0,15,5,0,5,8,0,14,11,3,11,9,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20238.0,,,Centro poblado,10,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,2,0,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20238.0,,,Rural disperso,17,15,2,0,0,0,0,1,0,0,0,0,0,11,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20238.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20250.0,,20250 El Paso,TOTAL,77,62,15,0,1,0,0,2,0,0,2,0,0,24,3,0,13,1,0,13,8,0,7,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20250.0,,,Cabecera municipal,28,21,7,0,0,0,0,0,0,0,1,0,0,11,2,0,4,1,0,4,2,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20250.0,,,Centro poblado,36,28,8,0,1,0,0,2,0,0,1,0,0,4,1,0,6,0,0,8,6,0,6,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20250.0,,,Rural disperso,13,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20250.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20295.0,,20295 Gamarra,TOTAL,46,27,19,0,0,0,0,1,0,0,0,0,0,7,1,0,5,1,0,11,11,0,3,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20295.0,,,Cabecera municipal,30,15,15,0,0,0,0,1,0,0,0,0,0,3,1,0,2,1,0,8,8,0,1,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20295.0,,,Centro poblado,12,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,3,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20295.0,,,Rural disperso,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20295.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20310.0,,20310 González,TOTAL,9,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
20.0,20310.0,,,Cabecera municipal,8,3,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
