columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen,cuadro
5.0,5042.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5042.0,,,Rural disperso,12,0,0,0,1,4,6,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5042.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5044.0,,05044 Anzá,Total,8,0,0,0,1,4,3,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5044.0,,,Cabecera municipal,2,0,0,0,1,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5044.0,,,Centro poblado,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5044.0,,,Rural disperso,4,0,0,0,0,2,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5045.0,,05045 Apartadó,Total,139,0,2,0,12,32,59,29,5,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5045.0,,,Cabecera municipal,105,0,2,0,8,25,42,23,5,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5045.0,,,Centro poblado,23,0,0,0,3,6,11,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5045.0,,,Rural disperso,11,0,0,0,1,1,6,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5045.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5051.0,,05051 Arboletes,Total,43,0,0,1,2,10,18,11,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5051.0,,,Cabecera municipal,20,0,0,1,1,6,6,5,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5051.0,,,Centro poblado,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5051.0,,,Rural disperso,21,0,0,0,1,4,11,5,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5051.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5055.0,,05055 Argelia,Total,5,0,0,0,0,2,1,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5055.0,,,Cabecera municipal,3,0,0,0,0,1,1,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5055.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5055.0,,,Rural disperso,2,0,0,0,0,1,0,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5059.0,,05059 Armenia,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5059.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5059.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5059.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5079.0,,05079 Barbosa,Total,29,0,0,2,3,8,7,9,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5079.0,,,Cabecera municipal,13,0,0,1,1,4,4,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5079.0,,,Centro poblado,3,0,0,1,0,2,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5079.0,,,Rural disperso,13,0,0,0,2,2,3,6,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5079.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5086.0,,05086 Belmira,Total,6,0,0,0,2,1,3,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5086.0,,,Cabecera municipal,3,0,0,0,1,1,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5086.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5086.0,,,Rural disperso,3,0,0,0,1,0,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5088.0,,05088 Bello,Total,376,1,4,9,27,117,162,49,7,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5088.0,,,Cabecera municipal,361,1,4,6,26,112,157,48,7,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5088.0,,,Centro poblado,7,0,0,1,1,0,4,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5088.0,,,Rural disperso,8,0,0,2,0,5,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5088.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5091.0,,05091 Betania,Total,8,0,0,0,0,2,5,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5091.0,,,Cabecera municipal,4,0,0,0,0,1,2,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5091.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5091.0,,,Rural disperso,4,0,0,0,0,1,3,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5091.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5093.0,,05093 Betulia,Total,18,0,0,0,4,8,6,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5093.0,,,Cabecera municipal,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5093.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5093.0,,,Rural disperso,15,0,0,0,4,6,5,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5093.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5101.0,,05101 Ciudad Bolívar,Total,19,0,0,0,1,7,9,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5101.0,,,Cabecera municipal,11,0,0,0,1,3,7,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5101.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5101.0,,,Rural disperso,7,0,0,0,0,3,2,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5101.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5107.0,,05107 Briceño,Total,5,0,0,1,0,2,1,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5107.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5107.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5107.0,,,Rural disperso,4,0,0,1,0,2,0,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5107.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5113.0,,05113 Buriticá,Total,6,0,0,0,0,2,3,0,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5113.0,,,Cabecera municipal,3,0,0,0,0,1,1,0,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5113.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5113.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5113.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5120.0,,05120 Cáceres,Total,21,0,0,0,2,7,9,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5120.0,,,Cabecera municipal,11,0,0,0,0,3,6,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5120.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
