columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
20.0,,Subsidiado,4978,3703,24,869,11,249,118,4,2024,defunciones,Cuadro6
20.0,,Excepción,47,40,0,7,0,0,0,0,2024,defunciones,Cuadro6
20.0,,Especial,25,18,0,7,0,0,0,0,2024,defunciones,Cuadro6
20.0,,No asegurado,35,27,0,7,0,0,1,0,2024,defunciones,Cuadro6
20.0,,Sin información,111,21,1,18,2,31,20,18,2024,defunciones,Cuadro6
23.0,23 Córdoba,TOTAL,9124,6200,33,2277,15,290,126,183,2024,defunciones,Cuadro6
23.0,,Contributivo,1367,963,1,314,6,61,18,4,2024,defunciones,Cuadro6
23.0,,Subsidiado,7291,5023,30,1903,7,212,103,13,2024,defunciones,Cuadro6
23.0,,Excepción,204,164,0,40,0,0,0,0,2024,defunciones,Cuadro6
23.0,,Especial,13,9,0,4,0,0,0,0,2024,defunciones,Cuadro6
23.0,,No asegurado,29,21,2,6,0,0,0,0,2024,defunciones,Cuadro6
23.0,,Sin información,220,20,0,10,2,17,5,166,2024,defunciones,Cuadro6
25.0,25 Cundinamarca,TOTAL,13165,7669,114,4262,58,707,324,31,2024,defunciones,Cuadro6
25.0,,Contributivo,6027,3602,45,1871,33,347,124,5,2024,defunciones,Cuadro6
25.0,,Subsidiado,6635,3824,63,2260,16,285,175,12,2024,defunciones,Cuadro6
25.0,,Excepción,210,135,1,70,0,2,2,0,2024,defunciones,Cuadro6
25.0,,Especial,15,8,0,6,0,1,0,0,2024,defunciones,Cuadro6
25.0,,No asegurado,104,68,2,33,0,0,1,0,2024,defunciones,Cuadro6
25.0,,Sin información,174,32,3,22,9,72,22,14,2024,defunciones,Cuadro6
27.0,27 Chocó,TOTAL,1750,829,31,363,18,166,175,168,2024,defunciones,Cuadro6
27.0,,Contributivo,214,115,4,42,0,26,25,2,2024,defunciones,Cuadro6
27.0,,Subsidiado,1291,675,26,304,18,125,127,16,2024,defunciones,Cuadro6
27.0,,Excepción,20,14,0,6,0,0,0,0,2024,defunciones,Cuadro6
27.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
27.0,,No asegurado,30,22,1,5,0,0,2,0,2024,defunciones,Cuadro6
27.0,,Sin información,195,3,0,6,0,15,21,150,2024,defunciones,Cuadro6
41.0,41 Huila,TOTAL,6966,4287,11,1986,13,344,307,18,2024,defunciones,Cuadro6
41.0,,Contributivo,1698,1192,0,387,4,75,38,2,2024,defunciones,Cuadro6
41.0,,Subsidiado,4997,2906,7,1548,9,256,261,10,2024,defunciones,Cuadro6
41.0,,Excepción,195,154,1,40,0,0,0,0,2024,defunciones,Cuadro6
41.0,,Especial,2,1,0,1,0,0,0,0,2024,defunciones,Cuadro6
41.0,,No asegurado,17,13,0,4,0,0,0,0,2024,defunciones,Cuadro6
41.0,,Sin información,57,21,3,6,0,13,8,6,2024,defunciones,Cuadro6
44.0,44 La Guajira,TOTAL,2549,1756,10,445,7,170,100,61,2024,defunciones,Cuadro6
44.0,,Contributivo,366,272,1,53,2,26,11,1,2024,defunciones,Cuadro6
44.0,,Subsidiado,1893,1353,9,347,5,112,66,1,2024,defunciones,Cuadro6
44.0,,Excepción,20,17,0,3,0,0,0,0,2024,defunciones,Cuadro6
44.0,,Especial,11,9,0,2,0,0,0,0,2024,defunciones,Cuadro6
44.0,,No asegurado,121,92,0,22,0,4,3,0,2024,defunciones,Cuadro6
44.0,,Sin información,138,13,0,18,0,28,20,59,2024,defunciones,Cuadro6
47.0,47 Magdalena,TOTAL,6332,3956,72,1505,16,438,253,92,2024,defunciones,Cuadro6
47.0,,Contributivo,1591,1097,12,316,4,92,67,3,2024,defunciones,Cuadro6
47.0,,Subsidiado,4368,2706,51,1124,10,306,158,13,2024,defunciones,Cuadro6
47.0,,Excepción,103,76,0,25,0,0,2,0,2024,defunciones,Cuadro6
47.0,,Especial,7,4,1,2,0,0,0,0,2024,defunciones,Cuadro6
47.0,,No asegurado,84,54,0,24,0,4,2,0,2024,defunciones,Cuadro6
47.0,,Sin información,179,19,8,14,2,36,24,76,2024,defunciones,Cuadro6
50.0,50 Meta,TOTAL,5519,3665,58,1304,23,302,145,22,2024,defunciones,Cuadro6
50.0,,Contributivo,1649,1121,7,364,16,104,29,8,2024,defunciones,Cuadro6
50.0,,Subsidiado,3582,2372,47,876,6,174,98,9,2024,defunciones,Cuadro6
50.0,,Excepción,154,110,2,39,0,0,3,0,2024,defunciones,Cuadro6
50.0,,Especial,5,1,0,4,0,0,0,0,2024,defunciones,Cuadro6
50.0,,No asegurado,46,34,0,10,0,2,0,0,2024,defunciones,Cuadro6
50.0,,Sin información,83,27,2,11,1,22,15,5,2024,defunciones,Cuadro6
52.0,52 Nariño,TOTAL,8172,4387,96,2816,17,417,269,170,2024,defunciones,Cuadro6
52.0,,Contributivo,1346,811,10,432,4,56,32,1,2024,defunciones,Cuadro6
52.0,,Subsidiado,6344,3361,83,2305,13,338,224,20,2024,defunciones,Cuadro6
52.0,,Excepción,212,173,2,35,0,1,1,0,2024,defunciones,Cuadro6
52.0,,Especial,20,9,0,11,0,0,0,0,2024,defunciones,Cuadro6
52.0,,No asegurado,41,26,1,14,0,0,0,0,2024,defunciones,Cuadro6
52.0,,Sin información,209,7,0,19,0,22,12,149,2024,defunciones,Cuadro6
54.0,54 Norte de Santander,TOTAL,8833,5395,108,2452,53,494,211,120,2024,defunciones,Cuadro6
54.0,,Contributivo,1973,1312,8,494,23,89,36,11,2024,defunciones,Cuadro6
54.0,,Subsidiado,6054,3644,90,1820,23,296,132,49,2024,defunciones,Cuadro6
54.0,,Excepción,216,154,0,58,0,1,2,1,2024,defunciones,Cuadro6
54.0,,Especial,22,12,0,10,0,0,0,0,2024,defunciones,Cuadro6
54.0,,No asegurado,262,208,7,39,0,7,0,1,2024,defunciones,Cuadro6
54.0,,Sin información,306,65,3,31,7,101,41,58,2024,defunciones,Cuadro6
63.0,63 Quindío,TOTAL,4602,3215,9,1108,10,159,87,14,2024,defunciones,Cuadro6
63.0,,Contributivo,1830,1267,5,481,4,42,26,5,2024,defunciones,Cuadro6
63.0,,Subsidiado,2537,1787,4,577,6,105,51,7,2024,defunciones,Cuadro6
63.0,,Excepción,168,134,0,34,0,0,0,0,2024,defunciones,Cuadro6
63.0,,Especial,2,0,0,2,0,0,0,0,2024,defunciones,Cuadro6
63.0,,No asegurado,24,16,0,8,0,0,0,0,2024,defunciones,Cuadro6
63.0,,Sin información,41,11,0,6,0,12,10,2,2024,defunciones,Cuadro6
66.0,66 Risaralda,TOTAL,7987,5572,11,1991,14,261,122,16,2024,defunciones,Cuadro6
66.0,,Contributivo,3612,2525,3,964,3,77,36,4,2024,defunciones,Cuadro6
66.0,,Subsidiado,4061,2818,8,967,11,174,76,7,2024,defunciones,Cuadro6
66.0,,Excepción,206,164,0,40,0,0,2,0,2024,defunciones,Cuadro6
66.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
66.0,,No asegurado,53,40,0,12,0,1,0,0,2024,defunciones,Cuadro6
66.0,,Sin información,55,25,0,8,0,9,8,5,2024,defunciones,Cuadro6
68.0,68 Santander,TOTAL,13017,8566,47,3457,39,509,386,13,2024,defunciones,Cuadro6
68.0,,Contributivo,5005,3467,20,1245,13,160,100,0,2024,defunciones,Cuadro6
68.0,,Subsidiado,7175,4510,24,2035,22,317,262,5,2024,defunciones,Cuadro6
68.0,,Excepción,642,484,2,147,1,1,7,0,2024,defunciones,Cuadro6
68.0,,Especial,1,0,0,1,0,0,0,0,2024,defunciones,Cuadro6
68.0,,No asegurado,74,54,0,18,0,2,0,0,2024,defunciones,Cuadro6
68.0,,Sin información,120,51,1,11,3,29,17,8,2024,defunciones,Cuadro6
70.0,70 Sucre,TOTAL,4713,3325,43,990,5,163,77,110,2024,defunciones,Cuadro6
70.0,,Contributivo,620,476,1,106,1,21,14,1,2024,defunciones,Cuadro6
70.0,,Subsidiado,3853,2749,42,864,3,133,60,2,2024,defunciones,Cuadro6
70.0,,Excepción,72,66,0,6,0,0,0,0,2024,defunciones,Cuadro6
70.0,,Especial,12,8,0,4,0,0,0,0,2024,defunciones,Cuadro6
70.0,,No asegurado,22,18,0,4,0,0,0,0,2024,defunciones,Cuadro6
70.0,,Sin información,134,8,0,6,1,9,3,107,2024,defunciones,Cuadro6
73.0,73 Tolima,TOTAL,9063,5522,35,2784,18,310,358,36,2024,defunciones,Cuadro6
73.0,,Contributivo,2877,1896,11,809,6,87,65,3,2024,defunciones,Cuadro6
73.0,,Subsidiado,5771,3374,23,1897,12,194,267,4,2024,defunciones,Cuadro6
73.0,,Excepción,265,216,0,45,0,1,3,0,2024,defunciones,Cuadro6
73.0,,Especial,10,2,0,8,0,0,0,0,2024,defunciones,Cuadro6
73.0,,No asegurado,30,15,0,15,0,0,0,0,2024,defunciones,Cuadro6
73.0,,Sin información,110,19,1,10,0,28,23,29,2024,defunciones,Cuadro6
76.0,76 Valle del Cauca,TOTAL,32159,22414,165,7245,37,1504,696,98,2024,defunciones,Cuadro6
76.0,,Contributivo,15093,10701,37,3624,13,451,237,30,2024,defunciones,Cuadro6
76.0,,Subsidiado,15864,10908,125,3412,20,945,410,44,2024,defunciones,Cuadro6
76.0,,Excepción,630,516,0,109,0,1,4,0,2024,defunciones,Cuadro6
76.0,,Especial,33,27,0,6,0,0,0,0,2024,defunciones,Cuadro6
76.0,,No asegurado,197,145,0,50,0,1,1,0,2024,defunciones,Cuadro6
76.0,,Sin información,342,117,3,44,4,106,44,24,2024,defunciones,Cuadro6
81.0,81 Arauca,TOTAL,1175,605,2,323,6,156,83,0,2024,defunciones,Cuadro6
81.0,,Contributivo,121,60,0,32,1,21,7,0,2024,defunciones,Cuadro6
81.0,,Subsidiado,942,496,2,278,5,107,54,0,2024,defunciones,Cuadro6
81.0,,Excepción,11,8,0,3,0,0,0,0,2024,defunciones,Cuadro6
81.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
81.0,,No asegurado,31,26,0,5,0,0,0,0,2024,defunciones,Cuadro6
81.0,,Sin información,70,15,0,5,0,28,22,0,2024,defunciones,Cuadro6
85.0,85 Casanare,TOTAL,1739,1045,13,461,7,120,79,14,2024,defunciones,Cuadro6
85.0,,Contributivo,397,234,0,84,2,47,30,0,2024,defunciones,Cuadro6
85.0,,Subsidiado,1259,772,13,358,4,65,44,3,2024,defunciones,Cuadro6
85.0,,Excepción,24,14,0,9,1,0,0,0,2024,defunciones,Cuadro6
85.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
85.0,,No asegurado,15,10,0,5,0,0,0,0,2024,defunciones,Cuadro6
85.0,,Sin información,44,15,0,5,0,8,5,11,2024,defunciones,Cuadro6
86.0,86 Putumayo,TOTAL,1212,462,2,434,12,146,128,28,2024,defunciones,Cuadro6
86.0,,Contributivo,126,54,0,32,4,27,9,0,2024,defunciones,Cuadro6
86.0,,Subsidiado,1016,396,2,389,8,110,103,8,2024,defunciones,Cuadro6
86.0,,Excepción,9,1,0,8,0,0,0,0,2024,defunciones,Cuadro6
86.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
86.0,,No asegurado,6,5,0,1,0,0,0,0,2024,defunciones,Cuadro6
86.0,,Sin información,55,6,0,4,0,9,16,20,2024,defunciones,Cuadro6
88.0,88 Archipiélago de San Andrés y Providencia,TOTAL,255,168,0,58,1,15,13,0,2024,defunciones,Cuadro6
88.0,,Contributivo,129,92,0,27,1,4,5,0,2024,defunciones,Cuadro6
88.0,,Subsidiado,114,72,0,27,0,11,4,0,2024,defunciones,Cuadro6
88.0,,Excepción,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro6
88.0,,Especial,3,1,0,1,0,0,1,0,2024,defunciones,Cuadro6
88.0,,No asegurado,3,0,0,3,0,0,0,0,2024,defunciones,Cuadro6
88.0,,Sin información,5,2,0,0,0,0,3,0,2024,defunciones,Cuadro6
91.0,91 Amazonas,TOTAL,211,115,7,52,4,16,9,8,2024,defunciones,Cuadro6
91.0,,Contributivo,37,20,1,11,2,2,1,0,2024,defunciones,Cuadro6
91.0,,Subsidiado,141,84,4,31,2,11,7,2,2024,defunciones,Cuadro6
91.0,,Excepción,6,3,0,3,0,0,0,0,2024,defunciones,Cuadro6
91.0,,Especial,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro6
91.0,,No asegurado,15,7,1,7,0,0,0,0,2024,defunciones,Cuadro6
91.0,,Sin información,11,0,1,0,0,3,1,6,2024,defunciones,Cuadro6
94.0,94 Guainía,TOTAL,143,81,0,49,1,0,7,5,2024,defunciones,Cuadro6
94.0,,Contributivo,10,5,0,3,0,0,2,0,2024,defunciones,Cuadro6
94.0,,Subsidiado,103,62,0,35,1,0,4,1,2024,defunciones,Cuadro6
94.0,,Excepción,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro6
94.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
94.0,,No asegurado,20,11,0,8,0,0,1,0,2024,defunciones,Cuadro6
94.0,,Sin información,9,2,0,3,0,0,0,4,2024,defunciones,Cuadro6
95.0,95 Guaviare,TOTAL,284,155,1,76,4,23,21,4,2024,defunciones,Cuadro6
95.0,,Contributivo,38,21,1,10,1,3,2,0,2024,defunciones,Cuadro6
95.0,,Subsidiado,242,134,0,66,3,19,19,1,2024,defunciones,Cuadro6
95.0,,Excepción,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
95.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
95.0,,No asegurado,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
95.0,,Sin información,4,0,0,0,0,1,0,3,2024,defunciones,Cuadro6
97.0,97 Vaupés,TOTAL,107,37,0,39,1,5,19,6,2024,defunciones,Cuadro6
97.0,,Contributivo,5,2,0,3,0,0,0,0,2024,defunciones,Cuadro6
97.0,,Subsidiado,90,32,0,35,1,5,16,1,2024,defunciones,Cuadro6
97.0,,Excepción,2,2,0,0,0,0,0,0,2024,defunciones,Cuadro6
97.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
97.0,,No asegurado,4,1,0,1,0,0,2,0,2024,defunciones,Cuadro6
97.0,,Sin información,6,0,0,0,0,0,1,5,2024,defunciones,Cuadro6
99.0,99 Vichada,TOTAL,180,84,1,53,1,18,18,5,2024,defunciones,Cuadro6
99.0,,Contributivo,29,9,0,4,0,6,10,0,2024,defunciones,Cuadro6
99.0,,Subsidiado,117,58,1,43,1,7,6,1,2024,defunciones,Cuadro6
99.0,,Excepción,1,1,0,0,0,0,0,0,2024,defunciones,Cuadro6
99.0,,Especial,1,0,0,1,0,0,0,0,2024,defunciones,Cuadro6
99.0,,No asegurado,11,10,0,0,0,1,0,0,2024,defunciones,Cuadro6
99.0,,Sin información,21,6,0,5,0,4,2,4,2024,defunciones,Cuadro6
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,2024,defunciones,Cuadro6
,Fecha de actualización: 06 de febrero de 2026,,,,,,,,,,2024,defunciones,Cuadro6
