,,Departamento y municipio de ocurrencia | LISTA 6/67 CIE 10 DE OPS,,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2023,defunciones,Cuadro15
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro15
5.0,5000.0,,,501 Accidentes de transporte terrestre,1137,938,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,0,3,2,0,14,1,0,76,21,0,136,26,0,131,20,0,85,18,0,77,12,0,78,20,0,51,11,0,49,12,0,59,9,0,51,11,0,41,9,0,32,4,0,27,8,0,15,5,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,502 Los demás accidentes de transporte y los no especificados,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,503 Caídas,259,200,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,0,7,0,0,7,3,0,4,2,0,3,0,0,13,0,0,18,3,0,21,2,0,29,6,0,24,8,0,19,9,0,26,8,0,7,9,0,8,5,0,0,4,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,504 Accidentes por disparo de arma de fuego,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,505 Ahogamiento y sumersión accidentales,124,108,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,2,0,3,2,0,8,4,0,9,1,0,11,2,0,7,0,0,10,1,0,5,0,0,5,1,0,12,0,0,7,0,0,5,0,0,5,0,0,3,0,0,3,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,506 Accidentes que obstruyen la respiración,67,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,0,0,2,0,0,2,0,0,4,0,0,3,0,0,4,1,0,5,2,0,2,2,0,1,2,0,2,3,0,3,5,0,2,5,0,3,2,0,0,2,0,0,1,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,507 Exposición a la corriente eléctrica,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,4,1,0,3,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,"508 Exposición al humo, fuego y llamas",23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,42,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,1,0,2,1,0,4,0,0,8,2,0,3,0,0,1,0,0,1,1,0,2,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,"510 Otros accidentes, inclusive secuelas",341,223,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,1,1,0,9,2,0,6,2,0,17,3,0,6,1,0,12,0,0,13,2,0,21,2,0,14,3,0,11,9,0,16,2,0,19,6,0,20,6,0,9,21,0,12,15,0,15,18,0,11,12,0,3,10,0,1,2,0,1,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),587,475,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,41,26,0,73,13,0,59,11,0,54,11,0,43,7,0,37,9,0,33,5,0,35,3,0,21,7,0,26,6,0,30,1,0,7,3,0,6,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,512 Agresiones (homicidios),1813,1692,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,2,1,0,149,7,0,333,22,0,315,18,0,265,20,0,203,14,0,143,16,0,93,5,0,65,4,0,42,3,0,29,3,0,20,2,0,12,1,0,9,1,0,3,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,,,513 Eventos de intención no determinada,380,289,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,3,2,0,9,3,0,25,2,0,34,11,0,28,3,0,23,7,0,21,1,0,13,0,0,18,0,0,10,1,0,16,6,0,20,1,0,23,8,0,13,7,0,16,14,0,8,8,0,3,9,0,2,2,0,1,3,1,0,0,0,2023,defunciones,Cuadro15
