columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
15.0,,Excepción,233,154,1,74,0,1,3,0,2023,defunciones,Cuadro6
15.0,,Especial,9,2,0,7,0,0,0,0,2023,defunciones,Cuadro6
15.0,,No asegurado,31,15,0,14,0,1,1,0,2023,defunciones,Cuadro6
15.0,,Sin información,56,17,1,7,5,14,9,3,2023,defunciones,Cuadro6
17.0,17 Caldas,TOTAL,6548,4052,27,2125,22,181,134,7,2023,defunciones,Cuadro6
17.0,,Contributivo,2773,1694,11,955,9,73,30,1,2023,defunciones,Cuadro6
17.0,,Subsidiado,3498,2178,16,1100,13,97,91,3,2023,defunciones,Cuadro6
17.0,,Excepción,203,147,0,56,0,0,0,0,2023,defunciones,Cuadro6
17.0,,Especial,2,2,0,0,0,0,0,0,2023,defunciones,Cuadro6
17.0,,No asegurado,32,20,0,8,0,3,1,0,2023,defunciones,Cuadro6
17.0,,Sin información,40,11,0,6,0,8,12,3,2023,defunciones,Cuadro6
18.0,18 Caquetá,TOTAL,1767,995,9,512,10,97,124,20,2023,defunciones,Cuadro6
18.0,,Contributivo,237,163,1,45,3,9,16,0,2023,defunciones,Cuadro6
18.0,,Subsidiado,1467,814,7,449,7,82,102,6,2023,defunciones,Cuadro6
18.0,,Excepción,20,13,0,7,0,0,0,0,2023,defunciones,Cuadro6
18.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
18.0,,No asegurado,9,4,0,5,0,0,0,0,2023,defunciones,Cuadro6
18.0,,Sin información,34,1,1,6,0,6,6,14,2023,defunciones,Cuadro6
19.0,19 Cauca,TOTAL,6552,2659,30,2182,21,763,287,610,2023,defunciones,Cuadro6
19.0,,Contributivo,1171,587,4,400,6,127,42,5,2023,defunciones,Cuadro6
19.0,,Subsidiado,4565,1944,25,1737,14,590,228,27,2023,defunciones,Cuadro6
19.0,,Excepción,131,99,0,29,0,1,2,0,2023,defunciones,Cuadro6
19.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
19.0,,No asegurado,21,17,0,4,0,0,0,0,2023,defunciones,Cuadro6
19.0,,Sin información,664,12,1,12,1,45,15,578,2023,defunciones,Cuadro6
20.0,20 Cesar,TOTAL,6098,4331,28,1153,17,363,170,36,2023,defunciones,Cuadro6
20.0,,Contributivo,1088,814,6,162,6,74,25,1,2023,defunciones,Cuadro6
20.0,,Subsidiado,4750,3389,22,938,10,259,130,2,2023,defunciones,Cuadro6
20.0,,Excepción,55,44,0,11,0,0,0,0,2023,defunciones,Cuadro6
20.0,,Especial,8,7,0,1,0,0,0,0,2023,defunciones,Cuadro6
20.0,,No asegurado,62,48,0,14,0,0,0,0,2023,defunciones,Cuadro6
20.0,,Sin información,135,29,0,27,1,30,15,33,2023,defunciones,Cuadro6
23.0,23 Córdoba,TOTAL,9264,6054,43,2435,23,335,143,231,2023,defunciones,Cuadro6
23.0,,Contributivo,1368,963,6,307,5,65,20,2,2023,defunciones,Cuadro6
23.0,,Subsidiado,7409,4903,35,2079,17,255,112,8,2023,defunciones,Cuadro6
23.0,,Excepción,174,142,1,30,0,0,1,0,2023,defunciones,Cuadro6
23.0,,Especial,1,0,0,1,0,0,0,0,2023,defunciones,Cuadro6
23.0,,No asegurado,53,32,0,14,1,2,3,1,2023,defunciones,Cuadro6
23.0,,Sin información,259,14,1,4,0,13,7,220,2023,defunciones,Cuadro6
25.0,25 Cundinamarca,TOTAL,12610,6885,112,4415,82,686,361,69,2023,defunciones,Cuadro6
25.0,,Contributivo,5624,3080,47,1934,58,348,151,6,2023,defunciones,Cuadro6
25.0,,Subsidiado,6449,3566,61,2324,20,282,184,12,2023,defunciones,Cuadro6
25.0,,Excepción,187,107,1,77,0,1,1,0,2023,defunciones,Cuadro6
25.0,,Especial,32,16,0,15,0,0,1,0,2023,defunciones,Cuadro6
25.0,,No asegurado,106,64,0,39,0,3,0,0,2023,defunciones,Cuadro6
25.0,,Sin información,212,52,3,26,4,52,24,51,2023,defunciones,Cuadro6
27.0,27 Chocó,TOTAL,1712,837,36,372,7,129,136,195,2023,defunciones,Cuadro6
27.0,,Contributivo,208,116,3,48,2,13,18,8,2023,defunciones,Cuadro6
27.0,,Subsidiado,1261,678,31,311,5,99,108,29,2023,defunciones,Cuadro6
27.0,,Excepción,19,13,0,5,0,0,1,0,2023,defunciones,Cuadro6
27.0,,Especial,4,1,0,2,0,1,0,0,2023,defunciones,Cuadro6
27.0,,No asegurado,43,29,2,4,0,5,3,0,2023,defunciones,Cuadro6
27.0,,Sin información,177,0,0,2,0,11,6,158,2023,defunciones,Cuadro6
41.0,41 Huila,TOTAL,6889,4146,18,2108,15,299,292,11,2023,defunciones,Cuadro6
41.0,,Contributivo,1614,1081,6,426,2,55,42,2,2023,defunciones,Cuadro6
41.0,,Subsidiado,4970,2861,11,1613,11,230,235,9,2023,defunciones,Cuadro6
41.0,,Excepción,220,170,0,49,0,0,1,0,2023,defunciones,Cuadro6
41.0,,Especial,6,0,0,6,0,0,0,0,2023,defunciones,Cuadro6
41.0,,No asegurado,27,21,1,4,0,0,1,0,2023,defunciones,Cuadro6
41.0,,Sin información,52,13,0,10,2,14,13,0,2023,defunciones,Cuadro6
44.0,44 La Guajira,TOTAL,2695,1860,16,515,6,156,87,55,2023,defunciones,Cuadro6
44.0,,Contributivo,365,233,1,80,2,23,25,1,2023,defunciones,Cuadro6
44.0,,Subsidiado,2006,1474,13,371,3,100,44,1,2023,defunciones,Cuadro6
44.0,,Excepción,18,17,0,1,0,0,0,0,2023,defunciones,Cuadro6
44.0,,Especial,9,7,0,2,0,0,0,0,2023,defunciones,Cuadro6
44.0,,No asegurado,155,115,2,37,0,0,1,0,2023,defunciones,Cuadro6
44.0,,Sin información,142,14,0,24,1,33,17,53,2023,defunciones,Cuadro6
47.0,47 Magdalena,TOTAL,6246,3821,57,1584,14,447,233,90,2023,defunciones,Cuadro6
47.0,,Contributivo,1538,1030,10,350,5,87,55,1,2023,defunciones,Cuadro6
47.0,,Subsidiado,4273,2605,46,1151,6,306,152,7,2023,defunciones,Cuadro6
47.0,,Excepción,103,86,0,17,0,0,0,0,2023,defunciones,Cuadro6
47.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
47.0,,No asegurado,128,81,0,45,1,0,1,0,2023,defunciones,Cuadro6
47.0,,Sin información,204,19,1,21,2,54,25,82,2023,defunciones,Cuadro6
50.0,50 Meta,TOTAL,5649,3762,62,1317,27,281,177,23,2023,defunciones,Cuadro6
50.0,,Contributivo,1685,1159,12,366,12,94,40,2,2023,defunciones,Cuadro6
50.0,,Subsidiado,3653,2422,49,876,14,165,119,8,2023,defunciones,Cuadro6
50.0,,Excepción,165,114,1,47,0,0,3,0,2023,defunciones,Cuadro6
50.0,,Especial,5,1,0,4,0,0,0,0,2023,defunciones,Cuadro6
50.0,,No asegurado,42,32,0,10,0,0,0,0,2023,defunciones,Cuadro6
50.0,,Sin información,99,34,0,14,1,22,15,13,2023,defunciones,Cuadro6
52.0,52 Nariño,TOTAL,8080,4210,79,2898,41,436,271,145,2023,defunciones,Cuadro6
52.0,,Contributivo,1296,777,8,418,7,53,31,2,2023,defunciones,Cuadro6
52.0,,Subsidiado,6301,3236,69,2385,31,343,214,23,2023,defunciones,Cuadro6
52.0,,Excepción,205,140,0,61,0,1,3,0,2023,defunciones,Cuadro6
52.0,,Especial,11,3,0,8,0,0,0,0,2023,defunciones,Cuadro6
52.0,,No asegurado,47,26,1,15,2,0,3,0,2023,defunciones,Cuadro6
52.0,,Sin información,220,28,1,11,1,39,20,120,2023,defunciones,Cuadro6
54.0,54 Norte de Santander,TOTAL,8890,5408,92,2498,47,544,193,108,2023,defunciones,Cuadro6
54.0,,Contributivo,1977,1307,13,509,16,100,26,6,2023,defunciones,Cuadro6
54.0,,Subsidiado,5996,3605,69,1853,22,305,112,30,2023,defunciones,Cuadro6
54.0,,Excepción,236,196,1,39,0,0,0,0,2023,defunciones,Cuadro6
54.0,,Especial,16,5,1,10,0,0,0,0,2023,defunciones,Cuadro6
54.0,,No asegurado,320,239,7,61,0,9,4,0,2023,defunciones,Cuadro6
54.0,,Sin información,345,56,1,26,9,130,51,72,2023,defunciones,Cuadro6
63.0,63 Quindío,TOTAL,4372,2960,8,1134,4,147,101,18,2023,defunciones,Cuadro6
63.0,,Contributivo,1679,1159,3,448,0,40,28,1,2023,defunciones,Cuadro6
63.0,,Subsidiado,2436,1644,4,630,3,87,65,3,2023,defunciones,Cuadro6
63.0,,Excepción,156,125,0,31,0,0,0,0,2023,defunciones,Cuadro6
63.0,,Especial,13,1,0,12,0,0,0,0,2023,defunciones,Cuadro6
63.0,,No asegurado,22,17,0,4,0,0,0,1,2023,defunciones,Cuadro6
63.0,,Sin información,66,14,1,9,1,20,8,13,2023,defunciones,Cuadro6
66.0,66 Risaralda,TOTAL,7429,5097,7,1928,15,240,137,5,2023,defunciones,Cuadro6
66.0,,Contributivo,3360,2345,0,891,7,78,39,0,2023,defunciones,Cuadro6
66.0,,Subsidiado,3779,2558,7,975,6,145,86,2,2023,defunciones,Cuadro6
66.0,,Excepción,176,129,0,45,0,2,0,0,2023,defunciones,Cuadro6
66.0,,Especial,3,3,0,0,0,0,0,0,2023,defunciones,Cuadro6
66.0,,No asegurado,52,42,0,9,0,0,1,0,2023,defunciones,Cuadro6
66.0,,Sin información,59,20,0,8,2,15,11,3,2023,defunciones,Cuadro6
68.0,68 Santander,TOTAL,12812,8255,53,3619,41,455,368,21,2023,defunciones,Cuadro6
68.0,,Contributivo,4927,3324,12,1329,16,153,91,2,2023,defunciones,Cuadro6
68.0,,Subsidiado,6964,4294,37,2092,21,259,255,6,2023,defunciones,Cuadro6
68.0,,Excepción,688,519,1,160,1,2,4,1,2023,defunciones,Cuadro6
68.0,,Especial,1,1,0,0,0,0,0,0,2023,defunciones,Cuadro6
68.0,,No asegurado,91,70,1,15,1,3,1,0,2023,defunciones,Cuadro6
68.0,,Sin información,141,47,2,23,2,38,17,12,2023,defunciones,Cuadro6
70.0,70 Sucre,TOTAL,4706,3165,43,1074,7,234,72,111,2023,defunciones,Cuadro6
70.0,,Contributivo,608,443,2,125,1,29,8,0,2023,defunciones,Cuadro6
70.0,,Subsidiado,3852,2629,41,926,6,188,62,0,2023,defunciones,Cuadro6
70.0,,Excepción,84,72,0,11,0,1,0,0,2023,defunciones,Cuadro6
70.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
70.0,,No asegurado,18,8,0,8,0,2,0,0,2023,defunciones,Cuadro6
70.0,,Sin información,144,13,0,4,0,14,2,111,2023,defunciones,Cuadro6
73.0,73 Tolima,TOTAL,8837,5153,19,2861,17,373,370,44,2023,defunciones,Cuadro6
73.0,,Contributivo,2827,1765,5,861,6,108,82,0,2023,defunciones,Cuadro6
73.0,,Subsidiado,5584,3142,14,1902,11,242,267,6,2023,defunciones,Cuadro6
73.0,,Excepción,265,196,0,67,0,1,1,0,2023,defunciones,Cuadro6
73.0,,Especial,2,0,0,1,0,0,1,0,2023,defunciones,Cuadro6
73.0,,No asegurado,40,22,0,17,0,1,0,0,2023,defunciones,Cuadro6
73.0,,Sin información,119,28,0,13,0,21,19,38,2023,defunciones,Cuadro6
76.0,76 Valle del Cauca,TOTAL,30337,20600,133,7231,66,1515,632,160,2023,defunciones,Cuadro6
76.0,,Contributivo,13954,9539,46,3669,25,467,171,37,2023,defunciones,Cuadro6
76.0,,Subsidiado,15022,10181,73,3351,37,909,415,56,2023,defunciones,Cuadro6
76.0,,Excepción,623,511,0,105,0,0,6,1,2023,defunciones,Cuadro6
76.0,,Especial,19,13,0,6,0,0,0,0,2023,defunciones,Cuadro6
76.0,,No asegurado,237,171,2,58,0,2,3,1,2023,defunciones,Cuadro6
76.0,,Sin información,482,185,12,42,4,137,37,65,2023,defunciones,Cuadro6
81.0,81 Arauca,TOTAL,1141,597,16,301,8,121,97,1,2023,defunciones,Cuadro6
81.0,,Contributivo,96,48,0,26,1,18,3,0,2023,defunciones,Cuadro6
81.0,,Subsidiado,919,500,16,253,5,80,64,1,2023,defunciones,Cuadro6
81.0,,Excepción,10,6,0,3,0,1,0,0,2023,defunciones,Cuadro6
81.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
81.0,,No asegurado,38,31,0,7,0,0,0,0,2023,defunciones,Cuadro6
81.0,,Sin información,78,12,0,12,2,22,30,0,2023,defunciones,Cuadro6
85.0,85 Casanare,TOTAL,1701,1004,30,444,11,129,67,16,2023,defunciones,Cuadro6
85.0,,Contributivo,379,227,7,67,5,53,19,1,2023,defunciones,Cuadro6
85.0,,Subsidiado,1236,726,23,367,6,68,42,4,2023,defunciones,Cuadro6
85.0,,Excepción,24,22,0,2,0,0,0,0,2023,defunciones,Cuadro6
85.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
85.0,,No asegurado,24,20,0,3,0,0,1,0,2023,defunciones,Cuadro6
85.0,,Sin información,38,9,0,5,0,8,5,11,2023,defunciones,Cuadro6
86.0,86 Putumayo,TOTAL,1213,422,2,419,8,149,189,24,2023,defunciones,Cuadro6
86.0,,Contributivo,109,41,1,36,0,15,16,0,2023,defunciones,Cuadro6
86.0,,Subsidiado,1017,367,1,365,7,121,151,5,2023,defunciones,Cuadro6
86.0,,Excepción,10,5,0,4,0,1,0,0,2023,defunciones,Cuadro6
86.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
86.0,,No asegurado,12,2,0,8,0,0,0,2,2023,defunciones,Cuadro6
86.0,,Sin información,65,7,0,6,1,12,22,17,2023,defunciones,Cuadro6
88.0,88 Archipiélago de San Andrés y Providencia,TOTAL,281,165,1,86,2,21,6,0,2023,defunciones,Cuadro6
88.0,,Contributivo,141,85,1,46,0,8,1,0,2023,defunciones,Cuadro6
88.0,,Subsidiado,128,76,0,34,2,11,5,0,2023,defunciones,Cuadro6
88.0,,Excepción,4,1,0,3,0,0,0,0,2023,defunciones,Cuadro6
88.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
88.0,,No asegurado,5,2,0,2,0,1,0,0,2023,defunciones,Cuadro6
88.0,,Sin información,3,1,0,1,0,1,0,0,2023,defunciones,Cuadro6
91.0,91 Amazonas,TOTAL,176,97,3,44,2,8,9,13,2023,defunciones,Cuadro6
91.0,,Contributivo,24,15,1,3,0,3,2,0,2023,defunciones,Cuadro6
91.0,,Subsidiado,122,72,2,33,2,5,6,2,2023,defunciones,Cuadro6
91.0,,Excepción,3,2,0,1,0,0,0,0,2023,defunciones,Cuadro6
91.0,,Especial,1,0,0,1,0,0,0,0,2023,defunciones,Cuadro6
91.0,,No asegurado,8,3,0,5,0,0,0,0,2023,defunciones,Cuadro6
91.0,,Sin información,18,5,0,1,0,0,1,11,2023,defunciones,Cuadro6
94.0,94 Guainía,TOTAL,132,70,0,47,1,0,9,5,2023,defunciones,Cuadro6
94.0,,Contributivo,10,4,0,4,1,0,1,0,2023,defunciones,Cuadro6
94.0,,Subsidiado,87,47,0,35,0,0,5,0,2023,defunciones,Cuadro6
94.0,,Excepción,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
94.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
94.0,,No asegurado,27,19,0,7,0,0,1,0,2023,defunciones,Cuadro6
94.0,,Sin información,8,0,0,1,0,0,2,5,2023,defunciones,Cuadro6
95.0,95 Guaviare,TOTAL,285,138,2,58,0,39,34,14,2023,defunciones,Cuadro6
95.0,,Contributivo,23,8,0,7,0,5,3,0,2023,defunciones,Cuadro6
95.0,,Subsidiado,245,127,2,47,0,33,30,6,2023,defunciones,Cuadro6
95.0,,Excepción,1,1,0,0,0,0,0,0,2023,defunciones,Cuadro6
95.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
95.0,,No asegurado,2,1,0,1,0,0,0,0,2023,defunciones,Cuadro6
95.0,,Sin información,14,1,0,3,0,1,1,8,2023,defunciones,Cuadro6
97.0,97 Vaupés,TOTAL,100,34,2,50,0,2,9,3,2023,defunciones,Cuadro6
97.0,,Contributivo,5,3,1,1,0,0,0,0,2023,defunciones,Cuadro6
97.0,,Subsidiado,87,30,1,45,0,2,8,1,2023,defunciones,Cuadro6
97.0,,Excepción,1,1,0,0,0,0,0,0,2023,defunciones,Cuadro6
97.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
97.0,,No asegurado,3,0,0,3,0,0,0,0,2023,defunciones,Cuadro6
97.0,,Sin información,4,0,0,1,0,0,1,2,2023,defunciones,Cuadro6
99.0,99 Vichada,TOTAL,184,93,0,63,0,16,11,1,2023,defunciones,Cuadro6
99.0,,Contributivo,17,8,0,7,0,1,1,0,2023,defunciones,Cuadro6
99.0,,Subsidiado,128,60,0,48,0,11,8,1,2023,defunciones,Cuadro6
99.0,,Excepción,2,2,0,0,0,0,0,0,2023,defunciones,Cuadro6
99.0,,Especial,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro6
99.0,,No asegurado,24,19,0,5,0,0,0,0,2023,defunciones,Cuadro6
99.0,,Sin información,13,4,0,3,0,4,2,0,2023,defunciones,Cuadro6
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,2023,defunciones,Cuadro6
,Fecha de actualización: 19 de diciembre de 2024,,,,,,,,,,2023,defunciones,Cuadro6
